page_title,active_visitors
(other),2733
"MyPlate | U.S. Department of Agriculture",524
"MyPlate Daily Checklist | MyPlate",456
FoodData Central,386
"MyPlate Plan | MyPlate",346
USDA MyPlate Fruit Group – One of the Five Food Groups,214
USDA MyPlate What Is MyPlate?,207
USDA,201
USDA MyPlate Vegetables Group – One of the Five Food Groups,189
USDA MyPlate Protein Foods Group – One of the Five Food Groups,164
USDA MyPlate Grains Group – One of the Five Food Groups,163
USDA MyPlate Dairy Group – One of the Five Food Groups,147
"Home | Natural Resources Conservation Service",130
"SNAP Eligibility | Food and Nutrition Service",119
What You'll Learn,112
Menu,111
"SNAP State Directory of Resources | Food and Nutrition Service",111
"MyPlate Quiz | MyPlate",100
Lesson Summary,92
"MyPlate Quiz Results | MyPlate",89
"Home | National Finance Center",83
"Supplemental Nutrition Assistance Program (SNAP) | Food and Nutrition Service",82
USDA Farm Service Agency Home Page,80
USDA MyPlate Five Food Group Gallery,79
Introduction,78
Section 508 Defined,75
"Home | RMA",70
"Recipes | MyPlate",66
"Fratelli Beretta USA, Inc. Recalls Busseto Foods Brand Ready-to-Eat Charcuterie Meat Products Due to Possible Salmonella Contamination | Food Safety and Inspection Service",65
Knowledge Check 3,56
Rural Development,56
Use of ICT 2,56
Why is Section 508 Important?,56
Disabilities Defined 1 of 3,54
Knowledge Check 4,54
"Service Center Locator | Natural Resources Conservation Service",54
"Single Family Housing Guaranteed Loan Program | Rural Development",54
Disabilities Defined 2 of 3,53
Knowledge Check 5,53
Alternative Input Hardware and Software,52
General Section 508 Resources,52
"Home | Food Safety and Inspection Service",52
Types of Assistive Technology,52
"Careers | US Forest Service",51
Examples of Barriers to ICT,51
ICT Development Team (cont.) new,51
Market Research (cont.),51
Reducing Barriers to ICT,51
Screen Readers,51
Section 508 Responsibilities When Developing or Authoring ICT,51
"DRI Calculator Results | National Agricultural Library",50
How Accessibility Relates to Section 508,50
If You Have an Issue,50
Maintenance of ICT 2,50
Screen Magnifiers,50
"Applicant/Recipient | Food and Nutrition Service",49
Developing Electronic Content,49
"Home | US Forest Service",49
Market Research,49
Section 508 Roles and Responsibilities,49
Section 508: Providing Accessible ICT,49
Undue Burden or Fundamental Alteration,49
What ICT Activities are Covered?,49
