exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
hud.gov/topics/housing_choice_voucher_program_section_8,155504,283954,135282,1.8260237678773537,85.34721293342936,155504
hud.gov/,146020,239113,126981,1.637535953978907,77.43289960279414,146020
hud.gov/program_offices/public_indian_housing/reac/online,112756,201751,25429,1.789270637482706,135.98265280783284,112756
hud.gov/program_offices/public_indian_housing/pha/contacts,111995,315919,97762,2.820831287111032,157.35869458457967,111995
huduser.gov/portal/datasets/il.html,71176,99461,57690,1.3973951893896819,72.69175002809936,71176
hud.gov/topics/homes_for_sale,63100,132333,51556,2.0971949286846274,184.7945324881141,63100
hud.gov/press/press_releases_media_advisories/hud_no_23_263,56939,64815,54417,1.1383234689755704,30.34118969423418,56939
huduser.gov/portal/datasets/fmr.html,54346,81767,40521,1.5045633533286717,76.88098480108931,54346
hud.gov/topics/rental_assistance,47302,111889,42658,2.3654179527292714,149.34484799797048,47302
hud.gov/program_offices/administration/hudclips/handbooks/hsgh,43951,83696,19419,1.9043025187140223,109.85558917885827,43951
hud.gov/reac,40122,54995,9568,1.37069438213449,133.80574248541947,40122
opportunityzones.hud.gov/resources/map,36440,54422,29584,1.4934687156970363,72.93798024149287,36440
hud.gov/program_offices/general_counsel/limited_denial_participation_hud_funding_disqualifications,29507,40326,10163,1.366658758938557,64.59131731453553,29507
hud.gov/program_offices/fair_housing_equal_opp,28305,39690,26633,1.4022257551669317,43.19865748101042,28305
hud.gov/press/press_releases_media_advisories/hud_no_23_259,28159,31189,27398,1.107603252956426,21.035086473241236,28159
hud.gov/resources,26614,93184,23649,3.5013150973172014,236.7056812204103,26614
hud.gov/program_offices/housing/sfh/handbook_4000-1,26060,33598,12754,1.2892555640828856,81.9575594781274,26060
hud.gov/press/press_releases_media_advisories/hud_no_23_265,25259,28517,23944,1.1289837285719941,28.553386911595865,25259
hud.gov/ehv,23337,54805,20394,2.348416677379269,165.33431889274542,23337
hud.gov/topics,20847,69657,19116,3.3413440782846453,189.75113925265026,20847
