date,page_title,event_label,file_name,page,total_events
2024-01-04,Army Publishing Directorate,file_download,/pub/eforms/dr_a/arn39139-da_form_4856-001-efile-2.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,2854
2024-01-04,Military Compensation > Pay > Basic Pay > Active Duty Pay,file_download,/Portals/3/Documents/ActiveDutyTables/2024%20Pay%20Table-Capped-FINAL.pdf,militarypay.defense.gov/Pay/Basic-Pay/Active-Duty-Pay/,1753
2024-01-04,Army Publishing Directorate,file_download,/epubs/dr_pubs/dr_a/arn37842-ar_710-4-000-web-1.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,1342
2024-01-04,Army Publishing Directorate,file_download,/pub/eforms/dr_a/arn37028-da_form_4187-000-efile-1.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,1316
2024-01-04,Army Publishing Directorate,file_download,/pub/eforms/dr_a/arn39556-da_form_31-000-efile-1.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,1108
2024-01-04,Army Publishing Directorate,file_download,/pub/eforms/dr_a/arn34523-da_form_5960-000-efile-1.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,1017
2024-01-04,Army Publishing Directorate,file_download,/pub/eforms/dr_a/arn39613-da_form_2062-000-efile-1.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,733
2024-01-04,Reserve Drill Pay,file_download,[shrt]3/Documents/ActiveDutyTables/2024%20Pay%20Table%20w%20Drill%20Pay%20-%201%20drill%20period.pdf,militarypay.defense.gov/Pay/Basic-Pay/Reserve-Drill-Pay/,717
2024-01-04,ALNAV 2024,file_download,/Portals/55/Messages/ALNAV/ALN2024/ALN24001.txt,www.mynavyhr.navy.mil/References/Messages/ALNAV-2024/,699
2024-01-04,Army Publishing Directorate,file_download,/epubs/dr_pubs/dr_a/arn38642-ar_25-50-006-web-12.pdf,armypubs.army.mil/ProductMaps/PubForm/Details.aspx,672
2024-01-04,Travis AFB Passenger Terminal,file_download,[shrt]0Terminals/AMC%20CONUS%20Terminals/Travis%20AFB%20Passenger%20Terminal/Travis_72HR_04JAN24.pdf,www.amc.af.mil/AMC-Travel-Site/Terminals/CONUS-Terminals/Travis-AFB-Passenger-Terminal/,623
2024-01-04,NS Norfolk Passenger Terminal,file_download,[shrt]/AMC%20CONUS%20Terminals/NS%20Norfolk%20Passenger%20Terminal/72%20Hour%20Flight%20Schedule.pdf,www.amc.af.mil/AMC-Travel-Site/Terminals/CONUS-Terminals/NS-Norfolk-Passenger-Terminal/,606
