date,device,visits
2024-01-04,desktop,1052662
2024-01-04,mobile,569742
2024-01-04,tablet,17675
2024-01-04,smart tv,82
2024-01-03,desktop,998036
2024-01-03,mobile,534561
2024-01-03,tablet,14744
2024-01-03,smart tv,76
2024-01-02,desktop,730584
2024-01-02,mobile,486870
2024-01-02,tablet,13142
2024-01-02,smart tv,70
2024-01-01,mobile,389107
2024-01-01,desktop,272966
2024-01-01,tablet,11863
2024-01-01,smart tv,74
2023-12-31,mobile,358970
2023-12-31,desktop,216886
2023-12-31,tablet,14108
2023-12-31,smart tv,54
2023-12-30,mobile,399622
2023-12-30,desktop,241912
2023-12-30,tablet,13865
2023-12-30,smart tv,59
2023-12-29,mobile,461500
2023-12-29,desktop,446735
2023-12-29,tablet,15823
2023-12-29,smart tv,69
2023-12-28,desktop,604648
2023-12-28,mobile,554932
2023-12-28,tablet,20550
2023-12-28,smart tv,73
2023-12-27,desktop,580127
2023-12-27,mobile,504562
2023-12-27,tablet,16840
2023-12-27,smart tv,86
2023-12-26,mobile,425503
2023-12-26,desktop,422832
2023-12-26,tablet,12669
2023-12-26,smart tv,67
2023-12-25,mobile,354689
2023-12-25,desktop,185950
2023-12-25,tablet,11796
2023-12-25,smart tv,69
2023-12-24,mobile,416055
2023-12-24,desktop,196306
2023-12-24,tablet,15225
2023-12-24,smart tv,352
2023-12-23,mobile,386203
2023-12-23,desktop,205290
2023-12-23,tablet,13490
2023-12-23,smart tv,79
2023-12-22,mobile,473265
2023-12-22,desktop,453661
2023-12-22,tablet,15719
2023-12-22,smart tv,72
2023-12-21,desktop,650309
2023-12-21,mobile,480941
2023-12-21,tablet,13774
2023-12-21,smart tv,71
2023-12-20,desktop,718145
2023-12-20,mobile,513563
2023-12-20,tablet,15553
2023-12-20,smart tv,93
2023-12-19,desktop,755647
2023-12-19,mobile,518198
2023-12-19,tablet,18992
2023-12-19,smart tv,91
2023-12-18,desktop,783068
2023-12-18,mobile,544643
2023-12-18,tablet,17934
2023-12-18,smart tv,111
2023-12-17,mobile,405669
2023-12-17,desktop,329606
2023-12-17,tablet,13257
2023-12-17,smart tv,64
2023-12-16,mobile,435488
2023-12-16,desktop,271621
2023-12-16,tablet,13386
2023-12-16,smart tv,70
2023-12-15,desktop,680700
2023-12-15,mobile,657798
2023-12-15,tablet,17510
2023-12-15,smart tv,256
2023-12-14,desktop,843439
2023-12-14,mobile,781833
2023-12-14,tablet,19961
2023-12-14,smart tv,109
2023-12-13,desktop,847482
2023-12-13,mobile,554069
2023-12-13,tablet,15386
2023-12-13,smart tv,110
2023-12-12,desktop,879377
2023-12-12,mobile,546808
2023-12-12,tablet,17730
2023-12-12,smart tv,259
2023-12-11,desktop,911738
2023-12-11,mobile,574199
2023-12-11,tablet,20766
2023-12-11,smart tv,79
2023-12-10,mobile,408593
2023-12-10,desktop,358534
2023-12-10,tablet,19892
2023-12-10,smart tv,70
2023-12-09,mobile,487451
2023-12-09,desktop,312321
2023-12-09,tablet,16422
2023-12-09,smart tv,78
2023-12-08,desktop,693231
2023-12-08,mobile,504618
2023-12-08,tablet,14969
2023-12-08,smart tv,69
2023-12-07,desktop,842254
2023-12-07,mobile,560915
2023-12-07,tablet,25768
2023-12-07,smart tv,128
2023-12-06,desktop,921573
2023-12-06,mobile,542683
2023-12-06,tablet,20253
2023-12-06,smart tv,100
