domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.nasa.gov,www.nasa.gov/,NASA,2389512,1697305,1139616,1.4078271141603895,144.67795648223245,0.38872860210745858
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/sign-on/,"Sign On | Message in a Bottle – NASA's Europa Clipper",1654692,1225074,908800,1.3506873870476395,120.50686870306124,0.42688768188697174
apod.nasa.gov,apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,1479410,1260769,384604,1.1734179695090854,144.82445355169079,0.4864110713382071
sdo.gsfc.nasa.gov,sdo.gsfc.nasa.gov/data/,"SDO | Solar Dynamics Observatory",613367,45647,19106,13.43718097574868,1687.9820681833205,0.13008521918198349
science.nasa.gov,science.nasa.gov/eclipses/future-eclipses/eclipse-2024/where-when/,2024 Total Eclipse: Where & When - NASA Science,578267,540711,423908,1.0694566968306545,111.44076594571534,0.50099406152269876
apod.nasa.gov,apod.nasa.gov/apod/archivepix.html,Astronomy Picture of the Day Archive 2015,394290,233467,106392,1.6888468177515452,70.345286737240968,0.10571515460429097
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/check-in/,"Check In | Message in a Bottle – NASA's Europa Clipper",338798,239230,179012,1.4162019813568532,141.42921039759597,0.39556493750783767
apod.nasa.gov,apod.nasa.gov/apod/archivepixFull.html,Astronomy Picture of the Day Archive,317224,225168,164805,1.4088325161657074,105.86536773030903,0.15907677822781213
apod.nasa.gov,apod.nasa.gov/apod/,Astronomy Picture of the Day,300879,258195,129319,1.1653169116365538,132.24519621021898,0.60931853831406491
eyes.nasa.gov,eyes.nasa.gov/apps/solar-system/#/home,NASA/JPL Eyes on the Solar System,299466,189427,144165,1.5809045173074587,104.21955269441894,0.080020271661378789
science.nasa.gov,science.nasa.gov/mission/hubble/multimedia/what-did-hubble-see-on-your-birthday/,What Did Hubble See on Your Birthday? - NASA Science,297050,217528,191224,1.365571328748483,58.497624904402265,0.46990272516641535
europa.nasa.gov,europa.nasa.gov/,NASA's Europa Clipper,287146,231974,198960,1.237836998974023,64.692180512749459,0.17799839637200721
spaceplace.nasa.gov,spaceplace.nasa.gov/blue-sky/sp/,"Why Is the Sky Blue? | NASA Space Place – NASA Science for Kids",253069,226070,147676,1.1194276109169725,53.713972055087474,0.73749723536957579
urs.earthdata.nasa.gov,urs.earthdata.nasa.gov/oauth/authorize,Earthdata Login,236738,143269,98440,1.6524021246745633,119.47492425420056,0.30981580104558559
www.nasa.gov,www.nasa.gov/missions/emit/nasa-sensor-produces-first-global-maps-of-surface-minerals-in-arid-regions/,NASA Sensor Produces First Global Maps of Surface Minerals in Arid Regions - NASA,225586,210660,187855,1.0708535080224058,55.764053371900467,0.55283395044146966
science.nasa.gov,science.nasa.gov/solar-system/,Solar System Exploration - NASA Science,221481,154227,117609,1.4360715049893988,81.742809216348022,0.065345237863668484
spaceplace.nasa.gov,spaceplace.nasa.gov/blue-sky/en/,"Why Is the Sky Blue? | NASA Space Place – NASA Science for Kids",194299,172410,122964,1.1269589930978481,55.586127297820354,0.71379850356707852
science.nasa.gov,science.nasa.gov/solar-system/planets/,Planets - NASA Science,175984,109260,83934,1.6106992494966135,127.55889181280216,0.17789676002196594
webb.nasa.gov,webb.nasa.gov/,Webb Image Release- Webb Space Telescope GSFC/NASA,174792,157803,95325,1.1076595501986655,97.32704912011755,0.4469560147779193
eyes.nasa.gov,eyes.nasa.gov/apps/solar-system/#/story/total_solar_eclipse,NASA/JPL Eyes on the Solar System,172900,140185,129405,1.2333773228234119,56.177833287675625,0.02590148732032671
europa.nasa.gov,europa.nasa.gov/message-in-a-bottle/participation-map/,"Participation Map | Message in a Bottle – NASA's Europa Clipper",162603,132121,111425,1.2307127557314885,79.874475204385618,0.17604317254637794
