date,language,visits
2024-01-04,English,630700
2024-01-04,Spanish,35883
2024-01-04,Chinese,18434
2024-01-04,German,14065
2024-01-04,French,12379
2024-01-04,Portuguese,11119
2024-01-04,Italian,9039
2024-01-04,Russian,6641
2024-01-04,Japanese,4934
2024-01-04,Dutch,4255
2024-01-04,Turkish,4119
2024-01-04,Polish,3910
2024-01-04,Korean,3492
2024-01-04,Swedish,2406
2024-01-04,Danish,2042
2024-01-04,Czech,1665
2024-01-04,Norwegian Bokmål,1648
2024-01-04,Hungarian,1578
2024-01-04,Indonesian,1531
2024-01-04,Arabic,1413
2024-01-04,Thai,1376
2024-01-04,Ukrainian,1362
2024-01-04,Greek,1316
2024-01-04,Finnish,1164
2024-01-04,Vietnamese,1152
2024-01-04,Persian,1000
2024-01-04,Romanian,972
2024-01-04,Slovak,785
2024-01-04,Hebrew,521
2024-01-04,Bulgarian,507
2024-01-04,Croatian,472
2024-01-04,Catalan,376
2024-01-04,Hindi,343
2024-01-04,Slovenian,313
2024-01-04,Serbian,218
2024-01-04,Lithuanian,191
2024-01-04,(other),129
2024-01-04,Estonian,120
2024-01-04,Burmese,103
2024-01-04,Latvian,89
2024-01-04,Bengali,65
2024-01-04,Georgian,62
2024-01-04,Malay,62
2024-01-04,Uzbek,56
2024-01-04,Azerbaijani,55
2024-01-04,Albanian,45
2024-01-04,Marathi,42
2024-01-04,Central Khmer,41
2024-01-04,Macedonian,38
2024-01-04,Bosnian,34
2024-01-04,Icelandic,34
2024-01-04,Tamil,32
2024-01-04,Telugu,23
2024-01-04,Gujarati,20
2024-01-04,Mongolian,19
2024-01-04,Kannada,18
2024-01-04,Malayalam,18
2024-01-04,Basque,17
2024-01-04,Welsh,17
2024-01-04,Galician,15
2024-01-04,Urdu,15
2024-01-04,Irish,14
2024-01-04,Afrikaans,13
2024-01-04,Norwegian,11
2024-01-03,English,585059
2024-01-03,Spanish,32291
2024-01-03,Chinese,19401
2024-01-03,German,12946
2024-01-03,French,12266
2024-01-03,Portuguese,9624
2024-01-03,Italian,7763
2024-01-03,Russian,6266
2024-01-03,Japanese,4996
2024-01-03,Dutch,4171
2024-01-03,Polish,3969
2024-01-03,Turkish,3922
2024-01-03,Korean,3410
2024-01-03,Swedish,2573
2024-01-03,Thai,1612
2024-01-03,Greek,1604
2024-01-03,Czech,1575
2024-01-03,Norwegian Bokmål,1540
2024-01-03,Arabic,1507
2024-01-03,Hungarian,1495
2024-01-03,Danish,1415
2024-01-03,Indonesian,1389
2024-01-03,Vietnamese,1193
2024-01-03,Finnish,1091
2024-01-03,Romanian,973
2024-01-03,Persian,931
2024-01-03,Slovak,762
2024-01-03,Ukrainian,739
2024-01-03,Hebrew,526
2024-01-03,Croatian,463
2024-01-03,Catalan,422
2024-01-03,Bulgarian,395
2024-01-03,Slovenian,304
2024-01-03,Serbian,277
2024-01-03,Hindi,273
2024-01-03,Lithuanian,242
2024-01-03,(other),115
