exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
irs.gov/payments/your-online-account,2356765,12180082,1796261,5.16813598301061,138.91523125979893,2356765
irs.gov/,2298883,8098468,1904709,3.5227838911332157,95.73245919866301,2298883
irs.gov/your-account,1786876,9682859,1289287,5.418875736201057,114.63578838151052,1786876
irs.gov/refunds,1574535,5324611,837955,3.3817038046153307,60.111453857805635,1574535
treasurydirect.gov/log-in/,1223491,2752540,819775,2.249742744327502,131.24035567078138,1223491
irs.gov/payments/direct-pay,1135889,5781929,998887,5.090223604595168,127.65724996016336,1135889
irs.gov/businesses/small-businesses-self-employed/apply-for-an-employer-identification-number-ein-online,749378,3389290,527265,4.522804245654396,134.72708566304323,749378
home.treasury.gov/,686036,935120,576362,1.3630771563008355,54.69902891393455,686036
irs.gov/individuals/tax-withholding-estimator,661404,2025402,603606,3.0622766115717472,69.36156872350334,661404
irs.gov/site-index-search,657285,5733514,526309,8.723025780293176,284.3863788158866,657285
irs.gov/individuals/get-transcript,612078,2979818,464088,4.868363182470208,151.6707543809776,612078
ofac.treasury.gov/recent-actions,554226,709274,539823,1.2797559118482351,21.59090515421507,554226
irs.gov/filing/wheres-my-amended-return,546524,1874305,236136,3.4295017236205547,60.11163462171835,546524
home.treasury.gov/resource-center/data-chart-center/interest-rates/textview,471335,1048816,223345,2.225202881177931,77.66154221519726,471335
irs.gov/payments/pay-your-taxes-by-debit-or-credit-card,457663,2802358,395966,6.123191081647413,208.2010016103552,457663
irs.gov/forms-pubs/about-form-w-9,414818,1248156,382695,3.008924395759104,55.6856741992874,414818
treasurydirect.gov/,401929,679880,335826,1.6915425361195635,99.6910822558213,401929
pay.gov/public/home,378825,1110801,290476,2.932227281726391,282.4470956246288,378825
irs.gov/newsroom/irs-provides-tax-inflation-adjustments-for-tax-year-2024,373712,904176,336399,2.4194459904953547,42.33283651581967,373712
irs.gov/payments/online-payment-agreement-application,318678,1891257,236614,5.934695837177339,228.63171602683587,318678
