domain,page,page_title,pageviews
www.irs.gov,www.irs.gov/,"Internal Revenue Service | An official website of the United States government",2542942
www.irs.gov,www.irs.gov/payments/your-online-account,"Your Online Account | Internal Revenue Service",891539
www.treasurydirect.gov,www.treasurydirect.gov/log-in/,Log In — TreasuryDirect,678940
www.irs.gov,www.irs.gov/your-account,"Your account | Internal Revenue Service",635747
la.www4.irs.gov,la.www4.irs.gov/irportal/,"Information Returns Service | Internal Revenue Service",632563
www.irs.gov,www.irs.gov/payments/direct-pay,"Direct Pay | Internal Revenue Service",608338
www.irs.gov,www.irs.gov/payments,"Payments | Internal Revenue Service",599839
www.irs.gov,www.irs.gov/individuals/tax-withholding-estimator,"Tax Withholding Estimator | Internal Revenue Service",585698
www.irs.gov,www.irs.gov/refunds,"Refunds | Internal Revenue Service",516423
www.irs.gov,www.irs.gov/forms-instructions,"Forms & Instructions | Internal Revenue Service",497708
www.fincen.gov,www.fincen.gov/boi,"Beneficial Ownership Information Reporting | FinCEN.gov",445768
www.treasurydirect.gov,www.treasurydirect.gov/,Home — TreasuryDirect,440011
(other),(other),(other),415867
www.irs.gov,www.irs.gov/payments/tax-withholding,"Tax Withholding | Internal Revenue Service",375233
www.irs.gov,www.irs.gov/individuals/get-transcript,"Get Transcript | Internal Revenue Service",354902
www.irs.gov,www.irs.gov/businesses/small-businesses-self-employed/apply-for-an-employer-identification-number-ein-online,"Apply for an Employer Identification Number (EIN) online | Internal Revenue Service",338229
www.irs.gov,www.irs.gov/forms-pubs/about-form-w-9,"About Form W-9, Request for Taxpayer Identification Number and Certification | Internal Revenue Service",208594
home.treasury.gov,home.treasury.gov/resource-center/data-chart-center/interest-rates/TextView,"Resource Center | U.S. Department of the Treasury",202840
www.irs.gov,www.irs.gov/payments/pay-your-taxes-by-debit-or-credit-card,"Pay Your Taxes by Debit or Credit Card or Digital Wallet | Internal Revenue Service",192216
www.irs.gov,www.irs.gov/payments/online-payment-agreement-application,"Online Payment Agreement Application | Internal Revenue Service",187246
