date,page_title,event_label,file_name,page,total_events
2024-01-04,"About Form W-9, Request for Taxpayer Identification Number and Certification | Internal Revenue Service",file_download,/pub/irs-pdf/fw9.pdf,www.irs.gov/forms-pubs/about-form-w-9,39790
2024-01-04,"Small Entity Compliance Guide | FinCEN.gov",file_download,/sites/default/files/shared/boi_small_compliance_guide.v1.1-final.pdf,www.fincen.gov/boi/small-entity-compliance-guide,12481
2024-01-04,"Tax Withholding | Internal Revenue Service",file_download,/pub/irs-pdf/n1036.pdf,www.irs.gov/payments/tax-withholding,8602
2024-01-04,"About Form W-4, Employee's Withholding Certificate | Internal Revenue Service",file_download,/pub/irs-pdf/fw4.pdf,www.irs.gov/forms-pubs/about-form-w-4,8600
2024-01-04,"About Form 1040, U.S. Individual Income Tax Return | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/forms-pubs/about-form-1040,7220
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/forms-instructions,6764
2024-01-04,"About Form 1099-NEC, Nonemployee Compensation | Internal Revenue Service",file_download,/pub/irs-pdf/f1099nec.pdf,www.irs.gov/forms-pubs/about-form-1099-nec,6395
2024-01-04,"About Form W-2, Wage and Tax Statement | Internal Revenue Service",file_download,/pub/irs-pdf/fw2.pdf,www.irs.gov/forms-pubs/about-form-w-2,6142
2024-01-04,"Beneficial Ownership Information Reporting | FinCEN.gov",file_download,/sites/default/files/shared/boi%20informational%20brochure%20508c.pdf,www.fincen.gov/boi,5876
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/i1040gi.pdf,www.irs.gov/forms-instructions,5714
2024-01-04,"About Form 1099-MISC, Miscellaneous Information | Internal Revenue Service",file_download,/pub/irs-pdf/f1099msc.pdf,www.irs.gov/forms-pubs/about-form-1099-misc,5101
2024-01-04,"About Form W-4V, Voluntary Withholding Request | Internal Revenue Service",file_download,/pub/irs-pdf/fw4v.pdf,www.irs.gov/forms-pubs/about-form-w-4-v,4364
2024-01-04,"About Form 941, Employer's Quarterly Federal Tax Return | Internal Revenue Service",file_download,/pub/irs-pdf/f941.pdf,www.irs.gov/forms-pubs/about-form-941,3366
2024-01-04,"About Form 1040-ES, Estimated Tax for Individuals | Internal Revenue Service",file_download,/pub/irs-pdf/f1040es.pdf,www.irs.gov/forms-pubs/about-form-1040-es,3133
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/i1040tt.pdf,www.irs.gov/forms-instructions,2735
2024-01-04,"IRIS Application for TCC | Internal Revenue Service",file_download,/pub/taxpros/irs-application-for-tcc-tutorial-1.pdf,www.irs.gov/tax-professionals/iris-application-for-tcc,2722
2024-01-04,"Applicable Federal Rates | Internal Revenue Service",file_download,/pub/irs-drop/rr-24-02.pdf,www.irs.gov/applicable-federal-rates,2474
2024-01-04,"About Schedule A (Form 1040), Itemized Deductions | Internal Revenue Service",file_download,/pub/irs-pdf/f1040sa.pdf,www.irs.gov/forms-pubs/about-schedule-a-form-1040,2377
2024-01-04,"About Form 4506-T, Request for Transcript of Tax Return | Internal Revenue Service",file_download,/pub/irs-pdf/f4506t.pdf,www.irs.gov/forms-pubs/about-form-4506-t,2312
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/fw9.pdf,www.irs.gov/forms-instructions,2182
2024-01-04,"About Form 940, Employer's Annual Federal Unemployment (FUTA) Tax Return | Internal Revenue Service",file_download,/pub/irs-pdf/f940.pdf,www.irs.gov/forms-pubs/about-form-940,2146
2024-01-04,"About Form 8822, Change of Address | Internal Revenue Service",file_download,/pub/irs-pdf/f8822.pdf,www.irs.gov/forms-pubs/about-form-8822,2073
2024-01-04,"About Publication 15-T, Federal Income Tax Withholding Methods | Internal Revenue Service",file_download,/pub/irs-pdf/p15t.pdf,www.irs.gov/forms-pubs/about-publication-15-t,2019
2024-01-04,"About Schedule C (Form 1040), Profit or Loss from Business (Sole Proprietorship) | Internal Revenue Service",file_download,/pub/irs-pdf/f1040sc.pdf,www.irs.gov/forms-pubs/about-schedule-c-form-1040,1991
2024-01-04,"About Form 5695, Residential Energy Credits | Internal Revenue Service",file_download,/pub/irs-pdf/f5695.pdf,www.irs.gov/forms-pubs/about-form-5695,1964
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/fw4.pdf,www.irs.gov/forms-instructions,1930
2024-01-04,"Site Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f941.pdf,www.irs.gov/site-index-search?query=941,1857
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/f1040s.pdf,www.irs.gov/forms-instructions,1843
2024-01-04,"About Form 2553, Election by a Small Business Corporation | Internal Revenue Service",file_download,/pub/irs-pdf/f2553.pdf,www.irs.gov/forms-pubs/about-form-2553,1766
2024-01-04,"About Publication 970, Tax Benefits for Education | Internal Revenue Service",file_download,/pub/irs-pdf/p970.pdf,www.irs.gov/forms-pubs/about-publication-970,1717
2024-01-04,"About Publication 15, (Circular E), Employer's Tax Guide | Internal Revenue Service",file_download,/pub/irs-pdf/p15.pdf,www.irs.gov/forms-pubs/about-publication-15,1715
2024-01-04,"About Form W-7, Application for IRS Individual Taxpayer Identification Number | Internal Revenue Service",file_download,/pub/irs-pdf/fw7.pdf,www.irs.gov/forms-pubs/about-form-w-7,1683
2024-01-04,"About Form 8936, Qualified Plug-In Electric Drive Motor Vehicle Credit | Internal Revenue Service",file_download,/pub/irs-pdf/f8936.pdf,www.irs.gov/forms-pubs/about-form-8936,1675
2024-01-04,"Forms and Pubs Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/forms-pubs-search?query=1040,1587
2024-01-04,"About Form SS-4, Application for Employer Identification Number (EIN) | Internal Revenue Service",file_download,/pub/irs-pdf/fss4.pdf,www.irs.gov/forms-pubs/about-form-ss-4,1560
2024-01-04,"Site Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f940.pdf,www.irs.gov/site-index-search?query=940,1559
2024-01-04,"Site Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/fw9.pdf,www.irs.gov/site-index-search?query=w9,1536
2024-01-04,"About Form 8832, Entity Classification Election | Internal Revenue Service",file_download,/pub/irs-pdf/f8832.pdf,www.irs.gov/forms-pubs/about-form-8832,1506
2024-01-04,"About Form 8822-B, Change of Address or Responsible Party - Business | Internal Revenue Service",file_download,/pub/irs-pdf/f8822b.pdf,www.irs.gov/forms-pubs/about-form-8822-b,1461
2024-01-04,"About Schedule B (Form 1040), Interest and Ordinary Dividends | Internal Revenue Service",file_download,/pub/irs-pdf/f1040sb.pdf,www.irs.gov/forms-pubs/about-schedule-b-form-1040,1440
2024-01-04,"Forms and Pubs Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f940.pdf,www.irs.gov/forms-pubs-search?query=940,1377
2024-01-04,"About Form W-8 BEN, Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting (Individuals) | Internal Revenue Service",file_download,/pub/irs-pdf/fw8ben.pdf,www.irs.gov/forms-pubs/about-form-w-8-ben,1317
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/fw2.pdf,www.irs.gov/forms-instructions,1311
2024-01-04,"About Schedule 8812 (Form 1040), Credits for Qualifying Children and Other Dependents | Internal Revenue Service",file_download,/pub/irs-pdf/f1040s8.pdf,www.irs.gov/forms-pubs/about-schedule-8812-form-1040,1288
2024-01-04,"About Form 1065, U.S. Return of Partnership Income | Internal Revenue Service",file_download,/pub/irs-pdf/f1065.pdf,www.irs.gov/forms-pubs/about-form-1065,1250
2024-01-04,"Site Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/site-index-search?query=1040,1237
2024-01-04,"Get An Identity Protection PIN | Internal Revenue Service",file_download,/pub/irs-pdf/f15227.pdf,www.irs.gov/identity-theft-fraud-scams/get-an-identity-protection-pin,1235
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/f1040es.pdf,www.irs.gov/forms-instructions,1220
2024-01-04,"Forms, Instructions and Publications | Internal Revenue Service",file_download,/pub/irs-pdf/i1040gi.pdf,www.irs.gov/forms-instructions-and-publications,1188
2024-01-04,"Forms and Pubs Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f941.pdf,www.irs.gov/forms-pubs-search?query=941,1174
2024-01-04,"Site Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/fw9.pdf,www.irs.gov/site-index-search?query=w-9,1172
2024-01-04,"Internal Revenue Service | An official website of the United States government",file_download,/pub/irs-pdf/i1040gi.pdf,www.irs.gov/,1146
2024-01-04,"About Publication 505, Tax Withholding and Estimated Tax | Internal Revenue Service",file_download,/pub/irs-pdf/p505.pdf,www.irs.gov/forms-pubs/about-publication-505,1140
2024-01-04,"Forms and Pubs Index Search | Internal Revenue Service",file_download,/pub/irs-pdf/f1099msc.pdf,www.irs.gov/forms-pubs-search?query=1099,1125
2024-01-04,Cash EE or I savings bonds — TreasuryDirect,file_download,/forms/sav1522.pdf,www.treasurydirect.gov/savings-bonds/cashing-a-bond/,1100
2024-01-04,"About Form 843, Claim for Refund and Request for Abatement | Internal Revenue Service",file_download,/pub/irs-pdf/f843.pdf,www.irs.gov/forms-pubs/about-form-843,1089
2024-01-04,"About General Instructions for Certain Information Returns | Internal Revenue Service",file_download,/pub/irs-pdf/i1099gi.pdf,www.irs.gov/forms-pubs/about-form-1099,1089
