page_title,event_label,page,total_events
"About Form W-9, Request for Taxpayer Identification Number and Certification | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-w-9,148411
"Forms & Instructions | Internal Revenue Service",file_download,www.irs.gov/forms-instructions,120245
"Forms, Instructions and Publications | Internal Revenue Service",file_download,www.irs.gov/forms-instructions-and-publications,96428
"Prior Year Forms and Instructions | Internal Revenue Service",file_download,www.irs.gov/prior-year-forms-and-instructions,62967
"Small Entity Compliance Guide | FinCEN.gov",file_download,www.fincen.gov/boi/small-entity-compliance-guide,50676
"About Form 1040, U.S. Individual Income Tax Return | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-1040,47208
"About Form W-4, Employee's Withholding Certificate | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-w-4,37364
"Tax Withholding | Internal Revenue Service",file_download,www.irs.gov/payments/tax-withholding,34428
"About Form W-2, Wage and Tax Statement | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-w-2,27768
"Applicable Federal Rates | Internal Revenue Service",file_download,www.irs.gov/applicable-federal-rates,26659
"Beneficial Ownership Information Reporting | FinCEN.gov",file_download,www.fincen.gov/boi,26410
"About Form 1099-NEC, Nonemployee Compensation | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-1099-nec,26204
"About Form 1099-MISC, Miscellaneous Information | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-1099-misc,22223
"Forms and Pubs Index Search | Internal Revenue Service",file_download,www.irs.gov/forms-pubs-search?query=1040,22214
"About Form W-4V, Voluntary Withholding Request | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-w-4-v,21245
"About Form 1040-ES, Estimated Tax for Individuals | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-1040-es,17692
"About Form 941, Employer's Quarterly Federal Tax Return | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-941,16968
"About Schedule A (Form 1040), Itemized Deductions | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-schedule-a-form-1040,14200
"Prior Year Forms and Instructions | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/prior-year,12873
"Site Index Search | Internal Revenue Service",file_download,www.irs.gov/site-index-search?query=1040,11868
"About Schedule C (Form 1040), Profit or Loss from Business (Sole Proprietorship) | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-schedule-c-form-1040,11512
Upcoming Auctions — TreasuryDirect,file_download,www.treasurydirect.gov/auctions/upcoming/,11487
"About Form 5695, Residential Energy Credits | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-5695,11336
"About Form 940, Employer's Annual Federal Unemployment (FUTA) Tax Return | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-940,11125
"About Form 8936, Qualified Plug-In Electric Drive Motor Vehicle Credit | Internal Revenue Service",file_download,www.irs.gov/forms-pubs/about-form-8936,11000
