domain,visits
forecast.weather.gov,50613043
nlm.nih.gov,48465792
cdc.gov,23390943
irs.gov,21458578
weather.gov,14351917
usajobs.gov,14317182
travel.state.gov,10126148
nasa.gov,9421999
uscis.gov,8767043
nps.gov,8135465
ssa.gov,7169495
socialsecurity.gov,7093812
fda.gov,6769647
opm.gov,6560016
ceac.state.gov,5467759
whitehouse.gov,5363929
bls.gov,5218941
noaa.gov,4892837
egov.uscis.gov,4290282
wrh.noaa.gov,4286207
earthquake.usgs.gov,3928036
search.usa.gov,3373988
search.irs.gov,3190559
va.gov,3085332
studentaid.ed.gov,2935665
osha.gov,2869942
mobile.weather.gov,2863540
myhealth.va.gov,2791461
apps.irs.gov,2776468
drugabuse.gov,2749711
uspto.gov,2714054
archives.gov,2646009
census.gov,2619077
dol.gov,2602271
justice.gov,2487873
tsa.gov,2444195
ebenefits.va.gov,2365347
portal.hud.gov,2326138
www3.epa.gov,2209762
niddk.nih.gov,2155332
my.usajobs.gov,2109091
petitions.whitehouse.gov,2063296
benefits.va.gov,1992123
sba.gov,1970882
faa.gov,1968648
cbp.gov,1955857
faq.ssa.gov,1948699
ftc.gov,1867941
water.weather.gov,1860645
nces.ed.gov,1837660
sam.gov,1803182
eric.ed.gov,1750473
waterdata.usgs.gov,1726974
state.gov,1695416
consumer.ftc.gov,1652949
data.bls.gov,1521792
dhs.gov,1479784
apod.nasa.gov,1468732
hhs.gov,1449978
fbo.gov,1448704
bop.gov,1434080
treasury.gov,1405712
www2.epa.gov,1401961
usda.gov,1392887
eauth.va.gov,1376501
consumerfinance.gov,1372798
fs.usda.gov,1368356
usa.gov,1363221
search.cdc.gov,1336428
vsearch.nlm.nih.gov,1327587
gsa.gov,1316900
aids.gov,1214393
quickfacts.census.gov,1192547
www2.ed.gov,1189027
goes.noaa.gov,1143518
choosemyplate.gov,1115585
defense.gov,1034844
history.state.gov,1034843
donotcall.gov,1021195
fsis.usda.gov,1000198
epa.gov,962854
foodsafety.gov,938348
cpsc.gov,891904
vacareers.va.gov,844896
water.usgs.gov,837346
treasurydirect.gov,831905
spc.noaa.gov,829399
dailymed.nlm.nih.gov,801268
applicationmanager.gov,782261
li-public.fmcsa.dot.gov,775958
oceanservice.noaa.gov,770499
nih.gov,756898
fmcsa.dot.gov,752055
earthobservatory.nasa.gov,747465
catalog.usmint.gov,743467
nsf.gov,718521
usgs.gov,713520
nsopw.gov,699490
e-verify.uscis.gov,687516
ssd.noaa.gov,673155
benefits.gov,656727
search.uscis.gov,642135
search.michigan.gov,630086
gsaauctions.gov,628231
jpl.nasa.gov,614846
spotthestation.nasa.gov,611352
climate.nasa.gov,607238
export.gov,601777
energystar.gov,575427
help.usajobs.gov,573715
uscg.mil,573071
mars.nasa.gov,568395
fws.gov,563089
usaid.gov,561914
grc.nasa.gov,549744
nist.gov,549182
usmint.gov,540691
retireefehb.opm.gov,539172
sm.myhealth.va.gov,527006
stopbullying.gov,525371
marine.weather.gov,517382
ncdc.noaa.gov,517106
ed.gov,493423
science.nasa.gov,485779
spanish.mexico.usembassy.gov,477571
safercar.gov,472986
smclinician.myhealth.va.gov,439389
step.state.gov,436718
nhtsa.gov,436453
gsaadvantage.gov,434035
pubs.usgs.gov,426867
webbook.nist.gov,420112
index.va.gov,416674
us-cert.gov,413061
fema.gov,409227
solarsystem.nasa.gov,406041
ourdocuments.gov,402208
ncjrs.gov,392497
japanese.japan.usembassy.gov,389135
search.usembassy.gov,387323
usembassy.gov,384364
atf.gov,384102
ada.gov,375125
rd.usda.gov,374254
ptsd.va.gov,368611
nrc.gov,364974
ahrq.gov,357851
london.usembassy.gov,354463
evisaforms.state.gov,352988
atsdr.cdc.gov,350235
cpol.army.mil,347397
msc.fema.gov,347309
ers.usda.gov,341012
kids.usa.gov,340692
aphis.usda.gov,334283
ai.fmcsa.dot.gov,334263
dea.gov,332948
dvlottery.state.gov,324980
transportation.gov,324509
grants.nih.gov,321131
www-odi.nhtsa.dot.gov,311626
lewis-mcchord.army.mil,305237
hrsa.gov,303505
ams.usda.gov,300300
vaccines.gov,295467
tidesandcurrents.noaa.gov,294248
fhwa.dot.gov,292831
gobierno.usa.gov,291588
nfc.usda.gov,288433
find.irs.gov,285350
earthexplorer.usgs.gov,284466
cem.va.gov,283867
myhealthevet.va.gov,282346
pafc.arh.noaa.gov,281891
nasasearch.nasa.gov,281156
tsdr.uspto.gov,280633
effectivehealthcare.ahrq.gov,279298
water.epa.gov,271356
airnow.gov,270550
bea.gov,270107
my.uscis.gov,267889
usitc.gov,262817
careers.state.gov,257313
guideline.gov,252177
niehs.nih.gov,248885
complaints.donotcall.gov,245435
freshempire.betobaccofree.hhs.gov,245316
nij.gov,244065
usastaffing.opm.gov,243314
webapps.dol.gov,239120
kids.niehs.nih.gov,238782
search.uspto.gov,237343
usbr.gov,236853
nia.nih.gov,236131
nrcs.usda.gov,232237
m.whitehouse.gov,229500
ars.usda.gov,228835
therealcost.betobaccofree.hhs.gov,228212
nccd.cdc.gov,225389
arh.noaa.gov,224906
wwwnc.cdc.gov,220525
ftccomplaintassistant.gov,220447
volcanoes.usgs.gov,218291
blogs.va.gov,216420
ic3.gov,208850
publichealth.va.gov,208059
public-prod-elis2.uscis.dhs.gov,206959
emergency.cdc.gov,205654
oceanexplorer.noaa.gov,203270
physics.nist.gov,202448
climate.gov,200903
osac.gov,199382
onguardonline.gov,189871
spaceplace.nasa.gov,188499
canada.usembassy.gov,187796
french.france.usembassy.gov,187304
spanish.bogota.usembassy.gov,186830
floodsmart.gov,184670
smokefree.gov,184414
nihseniorhealth.gov,183931
starchild.gsfc.nasa.gov,182137
ndb.nal.usda.gov,181557
disability.gov,179570
newdelhi.usembassy.gov,175393
fec.gov,173553
eol.jsc.nasa.gov,172944
portal.fmcsa.dot.gov,172246
nature.nps.gov,170801
manila.usembassy.gov,170688
secsearch.sec.gov,169238
spanish.santodomingo.usembassy.gov,168844
store.usgs.gov,168688
