date,browser,os_version,visits
2024-01-04,Internet Explorer,10,118
2024-01-04,Internet Explorer,XP,12
2024-01-04,Internet Explorer,7,7
2024-01-04,Internet Explorer,8,4
2024-01-04,Internet Explorer,8.1,1
2024-01-03,Internet Explorer,10,104
2024-01-03,Internet Explorer,XP,11
2024-01-03,Internet Explorer,7,8
2024-01-03,Internet Explorer,8,6
2024-01-03,Internet Explorer,8.1,1
2024-01-03,Internet Explorer,CE,1
2024-01-03,Internet Explorer,Vista,1
2024-01-02,Internet Explorer,10,126
2024-01-02,Internet Explorer,XP,16
2024-01-02,Internet Explorer,7,7
2024-01-02,Internet Explorer,8,3
2024-01-02,Internet Explorer,Vista,1
2024-01-01,Internet Explorer,10,92
2024-01-01,Internet Explorer,XP,12
2024-01-01,Internet Explorer,7,11
2024-01-01,Internet Explorer,8,3
2024-01-01,Internet Explorer,8.1,1
2024-01-01,Internet Explorer,Vista,1
2023-12-31,Internet Explorer,10,101
2023-12-31,Internet Explorer,7,17
2023-12-31,Internet Explorer,XP,9
2023-12-31,Internet Explorer,8,4
2023-12-31,Internet Explorer,8.1,2
2023-12-31,Internet Explorer,CE,1
2023-12-31,Internet Explorer,Vista,1
2023-12-30,Internet Explorer,10,67
2023-12-30,Internet Explorer,7,16
2023-12-30,Internet Explorer,XP,16
2023-12-30,Internet Explorer,8.1,6
2023-12-30,Internet Explorer,8,5
2023-12-30,Internet Explorer,CE,1
2023-12-30,Internet Explorer,Vista,1
2023-12-29,Internet Explorer,10,56
2023-12-29,Internet Explorer,7,14
2023-12-29,Internet Explorer,XP,12
2023-12-29,Internet Explorer,8,7
2023-12-29,Internet Explorer,8.1,3
2023-12-28,Internet Explorer,10,70
2023-12-28,Internet Explorer,7,19
2023-12-28,Internet Explorer,XP,11
2023-12-28,Internet Explorer,8,10
2023-12-28,Internet Explorer,8.1,3
2023-12-27,Internet Explorer,10,55
2023-12-27,Internet Explorer,7,17
2023-12-27,Internet Explorer,XP,15
2023-12-27,Internet Explorer,8.1,8
2023-12-27,Internet Explorer,8,5
2023-12-27,Internet Explorer,CE,1
2023-12-27,Internet Explorer,NT,1
2023-12-26,Internet Explorer,10,66
2023-12-26,Internet Explorer,XP,15
2023-12-26,Internet Explorer,7,14
2023-12-26,Internet Explorer,8.1,7
2023-12-26,Internet Explorer,8,5
2023-12-26,Internet Explorer,Vista,2
2023-12-25,Internet Explorer,10,81
2023-12-25,Internet Explorer,7,13
