exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ssa.gov/,5974277,9257160,4253471,1.5495029775151035,107.59591495339102,5974277
ssa.gov/myaccount/lp/landing-page-rome.html,5411152,13081723,3950211,2.4175486107209703,339.4820346942758,5411152
ssa.gov/myaccount/,4999990,6960318,3431494,1.3920663841327683,70.39740259480519,4999990
secure.ssa.gov/acu/fis/ap,2894442,6270592,2142200,2.1664251693417937,117.18692376630798,2894442
ssa.gov/ssi,1617265,2015375,1276263,1.24616250274383,37.205843198239,1617265
ssa.gov/onlineservices/,858117,1361778,687728,1.5869374455930834,80.00088099874493,858117
ssa.gov/number-card/replace-card,755978,1757550,622866,2.3248692422266255,96.64009402390016,755978
secure.ssa.gov/rome/rir-ui/logintermsofservice,726674,6425616,708710,8.842501589433502,265.55690447160623,726674
ssa.gov/admin/error500.htm,647222,1353013,470519,2.0904929066070066,165.19959921016283,647222
ssa.gov/apply,548430,1598029,405171,2.9138249184034426,218.7239702423281,548430
ssa.gov/es/ssi,527283,593162,412904,1.1249404968489407,20.805616718157044,527283
search.ssa.gov/search,467139,717547,344447,1.5360460162820917,62.85595293906096,467139
ssa.gov/apply/check-application-or-appeal-status,348878,878763,219575,2.518826065272101,161.88420594018538,348878
ssa.gov/medicare/sign-up,348189,834663,239967,2.397154993408752,218.84694232155525,348189
ssa.gov/cola/,320883,449131,288442,1.3996721546482673,74.01491821006411,320883
ssa.gov/prepare/plan-retirement,318032,727839,276518,2.2885715902802235,144.62726077878955,318032
ssa.gov/agency/contact/phone.html,279034,724916,227089,2.597948637083653,152.47245496964527,279034
ssa.gov/benefits/disability/,278761,628613,216380,2.25502491381506,154.7008082192272,278761
ssa.gov/personal-record/change-name,264489,589308,215200,2.2281002234497467,98.68197543187051,264489
ssa.gov/retirement,263528,444874,227679,1.6881469900731612,102.77633496250873,263528
