date,device,visits
2024-01-04,mobile,727531
2024-01-04,desktop,670536
2024-01-04,tablet,34987
2024-01-04,smart tv,53
2024-01-03,mobile,748564
2024-01-03,desktop,709296
2024-01-03,tablet,33689
2024-01-03,smart tv,60
2024-01-02,mobile,779602
2024-01-02,desktop,690631
2024-01-02,tablet,34813
2024-01-02,smart tv,42
2024-01-01,mobile,478864
2024-01-01,desktop,320866
2024-01-01,tablet,25739
2024-01-01,smart tv,45
2023-12-31,mobile,369951
2023-12-31,desktop,217849
2023-12-31,tablet,16920
2023-12-31,smart tv,44
2023-12-30,mobile,420251
2023-12-30,desktop,265279
2023-12-30,tablet,21958
2023-12-30,smart tv,58
2023-12-29,mobile,641652
2023-12-29,desktop,449261
2023-12-29,tablet,27837
2023-12-29,smart tv,57
2023-12-28,mobile,656310
2023-12-28,desktop,528027
2023-12-28,tablet,28645
2023-12-28,smart tv,56
2023-12-27,mobile,621729
2023-12-27,desktop,529022
2023-12-27,tablet,27334
2023-12-27,smart tv,51
2023-12-26,mobile,555329
2023-12-26,desktop,435401
2023-12-26,tablet,26405
2023-12-26,smart tv,67
2023-12-25,mobile,309296
2023-12-25,desktop,136879
2023-12-25,tablet,15758
2023-12-25,smart tv,43
2023-12-24,mobile,306205
2023-12-24,desktop,147771
2023-12-24,tablet,13394
2023-12-24,smart tv,48
2023-12-23,mobile,386035
2023-12-23,desktop,197740
2023-12-23,tablet,18694
2023-12-23,smart tv,53
2023-12-22,mobile,501830
2023-12-22,desktop,351681
2023-12-22,tablet,23810
2023-12-22,smart tv,53
2023-12-21,mobile,547702
2023-12-21,desktop,456976
2023-12-21,tablet,27207
2023-12-21,smart tv,52
2023-12-20,mobile,558883
2023-12-20,desktop,502825
2023-12-20,tablet,24744
2023-12-20,smart tv,54
2023-12-19,mobile,575952
2023-12-19,desktop,552322
2023-12-19,tablet,25423
2023-12-19,smart tv,43
2023-12-18,mobile,633467
2023-12-18,desktop,551285
2023-12-18,tablet,28867
2023-12-18,smart tv,49
2023-12-17,mobile,418598
2023-12-17,desktop,239347
2023-12-17,tablet,23478
2023-12-17,smart tv,31
2023-12-16,mobile,394135
2023-12-16,desktop,247014
2023-12-16,tablet,18801
2023-12-16,smart tv,41
2023-12-15,mobile,548159
2023-12-15,desktop,476558
2023-12-15,tablet,23984
2023-12-15,smart tv,48
2023-12-14,mobile,620597
2023-12-14,desktop,541979
2023-12-14,tablet,29087
2023-12-14,smart tv,54
2023-12-13,mobile,599295
2023-12-13,desktop,535685
2023-12-13,tablet,29643
2023-12-13,smart tv,70
2023-12-12,mobile,602355
2023-12-12,desktop,578460
2023-12-12,tablet,33225
2023-12-12,smart tv,49
2023-12-11,mobile,642511
2023-12-11,desktop,609792
2023-12-11,tablet,31721
2023-12-11,smart tv,56
2023-12-10,mobile,385120
2023-12-10,desktop,259720
2023-12-10,tablet,19694
2023-12-10,smart tv,43
2023-12-09,mobile,385242
2023-12-09,desktop,266964
2023-12-09,tablet,18797
2023-12-09,smart tv,35
2023-12-08,mobile,574555
2023-12-08,desktop,486923
2023-12-08,tablet,24981
2023-12-08,smart tv,70
2023-12-07,mobile,622159
2023-12-07,desktop,608621
2023-12-07,tablet,28690
2023-12-07,smart tv,57
2023-12-06,desktop,658727
2023-12-06,mobile,657069
2023-12-06,tablet,33310
2023-12-06,smart tv,61
2023-12-05,desktop,670683
2023-12-05,mobile,665771
2023-12-05,tablet,37183
2023-12-05,smart tv,66
2023-12-04,desktop,758701
2023-12-04,mobile,732991
2023-12-04,tablet,42422
2023-12-04,smart tv,80
2023-12-03,mobile,469941
2023-12-03,desktop,387887
2023-12-03,tablet,35638
2023-12-03,smart tv,61
2023-12-02,mobile,527418
2023-12-02,desktop,404860
2023-12-02,tablet,28682
2023-12-02,smart tv,65
2023-12-01,desktop,863418
2023-12-01,mobile,778415
2023-12-01,tablet,45575
2023-12-01,smart tv,64
2023-11-30,desktop,906974
2023-11-30,mobile,858122
2023-11-30,tablet,52389
2023-11-30,smart tv,78
2023-11-29,desktop,923495
2023-11-29,mobile,871467
2023-11-29,tablet,53428
2023-11-29,smart tv,52
2023-11-28,desktop,880894
2023-11-28,mobile,843440
2023-11-28,tablet,47241
2023-11-28,smart tv,73
2023-11-27,desktop,843383
2023-11-27,mobile,779071
2023-11-27,tablet,42704
2023-11-27,smart tv,72
2023-11-26,mobile,630837
2023-11-26,desktop,487396
2023-11-26,tablet,38963
2023-11-26,smart tv,73
2023-11-25,mobile,521762
2023-11-25,desktop,412273
2023-11-25,tablet,35372
2023-11-25,smart tv,48
2023-11-24,mobile,577838
2023-11-24,desktop,452644
2023-11-24,tablet,30812
2023-11-24,smart tv,43
2023-11-23,mobile,440862
2023-11-23,desktop,247937
2023-11-23,tablet,20716
2023-11-23,smart tv,44
2023-11-22,mobile,744866
2023-11-22,desktop,492955
2023-11-22,tablet,32150
2023-11-22,smart tv,46
2023-11-21,mobile,813392
2023-11-21,desktop,603291
2023-11-21,tablet,35979
2023-11-21,smart tv,63
2023-11-20,mobile,703928
2023-11-20,desktop,676591
2023-11-20,tablet,31626
2023-11-20,smart tv,55
2023-11-19,mobile,446871
2023-11-19,desktop,371979
2023-11-19,tablet,23999
2023-11-19,smart tv,54
2023-11-18,mobile,476814
2023-11-18,desktop,367922
2023-11-18,tablet,26279
2023-11-18,smart tv,48
2023-11-17,mobile,603040
2023-11-17,desktop,489355
2023-11-17,tablet,26269
2023-11-17,smart tv,47
2023-11-16,mobile,654960
2023-11-16,desktop,534657
2023-11-16,tablet,27699
2023-11-16,smart tv,45
2023-11-15,mobile,758379
2023-11-15,desktop,583691
2023-11-15,tablet,26659
2023-11-15,smart tv,49
2023-11-14,mobile,591232
2023-11-14,desktop,573007
2023-11-14,tablet,25876
2023-11-14,smart tv,57
2023-11-13,mobile,629597
2023-11-13,desktop,572074
2023-11-13,tablet,26398
2023-11-13,smart tv,50
2023-11-12,mobile,371150
2023-11-12,desktop,232052
2023-11-12,tablet,20817
2023-11-12,smart tv,40
2023-11-11,mobile,359507
2023-11-11,desktop,214766
2023-11-11,tablet,20917
2023-11-11,smart tv,52
2023-11-10,mobile,493320
2023-11-10,desktop,387797
2023-11-10,tablet,22610
2023-11-10,smart tv,58
2023-11-09,mobile,602783
2023-11-09,desktop,558448
2023-11-09,tablet,27485
2023-11-09,smart tv,60
2023-11-08,mobile,643316
2023-11-08,desktop,557969
2023-11-08,tablet,28918
2023-11-08,smart tv,61
2023-11-07,mobile,646224
2023-11-07,desktop,587756
2023-11-07,tablet,30936
2023-11-07,smart tv,68
2023-11-06,mobile,691282
2023-11-06,desktop,659262
2023-11-06,tablet,32531
2023-11-06,smart tv,62
2023-11-05,mobile,410958
2023-11-05,desktop,270159
2023-11-05,tablet,20267
2023-11-05,smart tv,68
2023-11-04,mobile,448261
2023-11-04,desktop,296435
2023-11-04,tablet,19291
2023-11-04,smart tv,47
2023-11-03,mobile,645078
2023-11-03,desktop,520088
2023-11-03,tablet,26658
2023-11-03,smart tv,53
2023-11-02,mobile,605328
2023-11-02,desktop,542433
