domain,page,page_title,pageviews
www.ssa.gov,www.ssa.gov/,"The United States Social Security Administration | SSA",2619632
www.ssa.gov,www.ssa.gov/myaccount/,"my Social Security | SSA",1730522
www.ssa.gov,www.ssa.gov/myaccount/lp/landing-page-rome.html,"ROME Survey Page | SSA",1164620
secure.ssa.gov,secure.ssa.gov/acu/FIS/ap,(not set),903113
www.ssa.gov,www.ssa.gov/ssi,"Supplemental Security Income (SSI) | SSA",709572
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/haveActivationCode,Social Security,539371
(other),(other),(other),530008
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/termsOfService,Social Security,524489
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/verifyIdentity,Social Security,436963
www.ssa.gov,www.ssa.gov/onlineservices/,"Online Services | SSA",369286
www.ssa.gov,www.ssa.gov/number-card/replace-card,"Replace Social Security card | SSA",276562
www.ssa.gov,www.ssa.gov/apply,"Apply for Social Security Benefits | SSA",276202
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/finishTermsOfService,Social Security,218581
www.ssa.gov,www.ssa.gov/number-card/replace-card/get-started/address,Replacement Card,211548
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/verifyActivationCode,Social Security,209907
www.ssa.gov,www.ssa.gov/number-card,"Social Security number & card | SSA",209177
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/activationCodeOptions,Social Security,207296
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/finishSetup,Social Security,203610
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/accountConfirmation,Social Security,199528
secure.ssa.gov,secure.ssa.gov/rome/rir-ui/loginTermsOfService,Social Security,199287
