domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
secure.login.gov,37888242,83520206,16101335,2.2043832490301343,606.5299066132443,37932691
usa.gov,6856803,10858815,5943616,1.5836556774345127,76.14801489848841,6856866
sam.gov,4193038,28541332,1888378,6.8068383830530514,324.1471625108096,4192662
login.gov,2519822,5327845,1947059,2.1143735549574534,133.71071964607023,2473053
gsa.gov,2299770,4854199,1525573,2.1107323775855846,115.53339681794266,2286667
search.usa.gov,2163099,4063577,1806501,1.8785903927651948,111.14809770611517,2114198
gsaadvantage.gov,1870573,7102121,1694092,3.7967622755166466,91.33787133675082,1869382
acquisition.gov,578782,1996962,299986,3.450283526440007,281.1336409909085,576463
gsaauctions.gov,520541,2356820,308199,4.527635671349615,165.73765755243102,520917
regulations.gov,519726,1062271,370579,2.043905827301309,108.5430861646329,519726
fsd.gov,368259,640660,190712,1.7396995049679709,173.54651210153725,367820
vote.gov,231275,341301,195728,1.4757366771159874,51.19999135228624,230961
data.gov,160996,202248,137799,1.256229968446421,59.9345014782976,159805
fpds.gov,146639,654390,71407,4.462591807090883,314.7111682431004,146576
realestatesales.gov,146263,517092,128521,3.535357540868162,118.33427456021003,146012
usability.gov,133223,195853,110214,1.470114019351013,62.21071436613798,132596
reginfo.gov,122001,743540,84259,6.094540208686814,126.98633617757231,121938
gsaelibrary.gsa.gov,114791,479100,67082,4.173672151997979,300.1392792117849,115104
fai.gov,106014,187828,56236,1.7717282623049786,143.62504008904483,101249
autoauctions.gsa.gov,81250,509381,46456,6.269304615384615,354.47547076923075,81062
fedramp.gov,78868,114478,62881,1.451513921996247,53.08576355429325,78053
section508.gov,66016,118741,47898,1.7986700193892389,128.22942922927774,65452
cpars.cpars.gov,65890,1023276,30281,15.530065260282289,780.9030960692063,65953
drivethru.gsa.gov,58806,596023,12852,10.13541135258307,991.1039859878243,61126
digitalcorps.gsa.gov,53728,134978,37867,2.512246873138773,174.83766378796903,52411
fdic-search.app.cloud.gov,49528,87770,43007,1.7721288967856565,83.09287675658213,49339
idmanagement.gov,48963,59120,42945,1.2074423544308968,42.38821150664788,48901
search.gsa.gov,48587,65640,37553,1.3509786568423652,62.33951468499804,42443
smartpay.gsa.gov,47584,113600,44073,2.387357094821789,104.22406691324815,49465
digital.gov,47521,68147,36675,1.4340396877170094,72.66147597904084,47459
plainlanguage.gov,47271,79996,39559,1.692284910410188,74.60940111273297,47271
fleetautoauctions.gsa.gov,46017,402364,29278,8.743812069452593,362.58354521155223,47271
designsystem.digital.gov,37867,100560,24137,2.6556104259645603,142.15913592309926,37616
challenge.gov,36237,87708,21629,2.4203990396556008,142.2060049121064,36237
connect.usa.gov,34356,42694,28275,1.2426941436721388,73.03606356968216,30845
buy.gsa.gov,31597,112722,23823,3.5674905845491662,129.03497167452608,31660
corporateapps.gsa.gov,30218,45264,7837,1.4979151499106493,247.61043086901847,29278
performance.gov,28902,52349,21504,1.8112587364196249,109.05885405854266,28588
touchpoints.app.cloud.gov,27083,35986,22319,1.3287301997563048,43.42196211645682,26958
esrs.gov,26770,365313,10846,13.64635786327979,725.8391109450878,26707
eoffer.gsa.gov,24764,243625,8526,9.837869487966403,407.1910030689711,24262
presidentialinnovationfellows.gov,24576,40625,19874,1.6530354817708333,105.70015462239583,24137
d2d.gsa.gov,23510,49214,10595,2.0933219906422798,146.7327094853254,23635
identityequitystudy.gsa.gov,23071,25704,18056,1.1141259589961423,42.09249707424906,22946
fsrs.gov,22570,369513,10282,16.371865307930882,908.0300398759415,22570
disposal.gsa.gov,20501,75733,21817,3.694112482317936,153.78927857177698,22319
benefits-tool.usa.gov,20375,53916,18181,2.646184049079755,189.90076073619633,18306
cio.gov,19121,30970,14984,1.6196851629098896,84.92960619214476,19059
join.tts.gsa.gov,18933,30281,14984,1.599376749590662,108.49844187397666,17617
handbook.tts.gsa.gov,18244,28902,16614,1.5841920631440474,85.27340495505372,19247
training.smartpay.gsa.gov,15799,121436,9467,7.686309260079752,624.3275523767327,16426
gsaglobalsupply.gsa.gov,14607,155792,11410,10.665571301430822,328.1654001506127,15297
permits.performance.gov,14169,49904,9216,3.5220551909097324,253.20142564754042,14043
coe.gsa.gov,13855,20187,12288,1.4570191266690726,53.76080837242873,13918
18f.gsa.gov,12539,22444,10658,1.789935401547173,60.89815774782678,12351
sftool.gov,11786,97864,7711,8.303410826404209,279.7676904802308,11598
autochoice.fas.gsa.gov,11222,19874,3699,1.7709855640705756,211.33630368918196,10532
vsc.gsa.gov,11222,18432,6896,1.642487970058813,179.26911423988594,10783
889.smartpay.gsa.gov,10721,13103,6583,1.2221807667195224,69.65768118645649,10909
srp.fas.gsa.gov,10282,13855,6144,1.3475004862867146,128.69704337677496,10407
web.fleet-test.fcs.gsa.gov,10219,11786,3323,1.153341814267541,12.404834132498287,10219
resources.data.gov,9404,18244,9090,1.9400255210548703,80.17971076137813,9341
methods.18f.gov,9279,27334,5015,2.945791572367712,98.64414268778964,9404
cmls.gsa.gov,9216,15799,6708,1.7143012152777777,64.00596788194444,8338
citizenscience.gov,8965,21692,7272,2.4196319018404906,156.82007808142777,8965
tech.gsa.gov,8902,14169,7335,1.5916647944282183,96.06784992136599,8840
alpha.sam.gov,8213,48086,4765,5.854864239620114,259.69572628759283,8464
tmss.gsa.gov,7837,57113,1818,7.287610054867934,82.50019139977032,7586
https.cio.gov,7586,9090,6834,1.1982599525441604,28.916820458739785,7586
open.gsa.gov,7586,14607,5454,1.9255206960189823,143.30319008700238,7272
accessibility.digital.gov,7460,16238,5830,2.1766756032171584,77.87050938337802,7335
cloud.gov,7460,12413,5893,1.663941018766756,66.28150134048258,7272
developers.login.gov,7460,13291,7022,1.7816353887399463,105.06554959785522,6520
cpars.gov,7210,15109,5454,2.0955617198335643,116.80388349514563,7022
search.gov,7147,21253,6144,2.9736952567510846,35.20176297747307,7210
facadatabase.gov,7022,23761,2257,3.3837937909427516,354.06137852463684,7022
finance.ocfo.gsa.gov,6896,52850,3574,7.663863109048724,394.4589617169374,7147
vscintranet.gsa.gov,6708,15736,125,2.345855694692904,945.3026237328563,6645
saferfederalworkforce.gov,6645,9467,5893,1.4246802106847254,47.22964635063958,6645
usdaadvantage.gsa.gov,6395,31973,3950,4.999687255668491,301.26004691164974,6520
search.vote.gov,6332,8275,5392,1.3068540745420087,35.65350600126342,6019
str.gsa.gov,6269,23886,1191,3.810177061732334,204.79996809698517,6332
cfo.gov,5830,9717,4953,1.6667238421955404,27.50754716981132,5830
analytics.usa.gov,5642,16488,3448,2.922367954626019,92.83959588798298,5642
