date,device,visits
2024-01-04,desktop,63022
2024-01-04,mobile,33108
2024-01-04,tablet,831
2024-01-04,smart tv,5
2024-01-03,desktop,62992
2024-01-03,mobile,34621
2024-01-03,tablet,849
2024-01-03,smart tv,4
2024-01-02,desktop,62743
2024-01-02,mobile,34321
2024-01-02,tablet,758
2024-01-02,smart tv,4
2024-01-01,mobile,22802
2024-01-01,desktop,22486
2024-01-01,tablet,648
2024-01-01,smart tv,5
2023-12-31,mobile,19917
2023-12-31,desktop,16811
2023-12-31,tablet,555
2023-12-31,smart tv,2
2023-12-30,mobile,21886
2023-12-30,desktop,20377
2023-12-30,tablet,556
2023-12-30,smart tv,2
2023-12-29,desktop,37462
2023-12-29,mobile,27654
2023-12-29,tablet,634
2023-12-28,desktop,42767
2023-12-28,mobile,28927
2023-12-28,tablet,616
2023-12-28,smart tv,1
2023-12-27,desktop,43079
2023-12-27,mobile,28387
2023-12-27,tablet,717
2023-12-27,smart tv,3
2023-12-26,desktop,34269
2023-12-26,mobile,24590
2023-12-26,tablet,677
2023-12-26,smart tv,4
2023-12-25,mobile,15276
2023-12-25,desktop,13861
2023-12-25,tablet,385
2023-12-24,mobile,15687
2023-12-24,desktop,13102
2023-12-24,tablet,374
2023-12-24,smart tv,2
2023-12-23,mobile,17957
2023-12-23,desktop,16243
2023-12-23,tablet,487
2023-12-23,smart tv,1
2023-12-22,desktop,35803
2023-12-22,mobile,22302
2023-12-22,tablet,528
2023-12-22,smart tv,2
2023-12-21,desktop,45471
2023-12-21,mobile,25795
2023-12-21,tablet,617
2023-12-21,smart tv,1
2023-12-20,desktop,52041
2023-12-20,mobile,27613
2023-12-20,tablet,661
2023-12-20,smart tv,3
2023-12-19,desktop,54989
2023-12-19,mobile,29618
2023-12-19,tablet,680
2023-12-19,smart tv,3
2023-12-18,desktop,52701
2023-12-18,mobile,29410
2023-12-18,tablet,674
2023-12-18,smart tv,1
2023-12-17,mobile,20873
2023-12-17,desktop,20715
2023-12-17,tablet,603
2023-12-16,mobile,20427
2023-12-16,desktop,19450
2023-12-16,tablet,544
2023-12-16,smart tv,3
2023-12-15,desktop,46853
2023-12-15,mobile,27284
2023-12-15,tablet,669
2023-12-15,smart tv,3
2023-12-14,desktop,53508
2023-12-14,mobile,29551
2023-12-14,tablet,826
2023-12-14,smart tv,7
2023-12-13,desktop,59289
2023-12-13,mobile,29855
2023-12-13,tablet,733
2023-12-13,smart tv,4
2023-12-12,desktop,60406
2023-12-12,mobile,31542
2023-12-12,tablet,725
2023-12-12,smart tv,3
2023-12-11,desktop,62469
2023-12-11,mobile,30220
2023-12-11,tablet,738
2023-12-11,smart tv,10
2023-12-10,desktop,23681
2023-12-10,mobile,23326
2023-12-10,tablet,609
2023-12-09,mobile,23591
2023-12-09,desktop,21136
2023-12-09,tablet,871
2023-12-09,smart tv,5
2023-12-08,desktop,49585
2023-12-08,mobile,27881
2023-12-08,tablet,669
2023-12-08,smart tv,2
2023-12-07,desktop,61619
2023-12-07,mobile,29710
2023-12-07,tablet,740
2023-12-07,smart tv,1
2023-12-06,desktop,63174
2023-12-06,mobile,31257
2023-12-06,tablet,707
2023-12-06,smart tv,3
