exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
sba.gov/,150551,443591,127913,2.946450040185718,79.98886755983023,150551
sba.gov/funding-programs/loans/make-payment-sba,141244,623109,124188,4.411578544929342,87.92319673756053,141244
sba.gov/funding-programs/loans/covid-19-relief-options/paycheck-protection-program,133026,263156,127158,1.978229819734488,10.663216213371822,133026
sba.gov/funding-programs/loans/lender-match-connects-you-lenders,71782,448867,63664,6.25319718035162,183.25215235017134,71782
sba.gov/business-guide/plan-your-business/write-your-business-plan,71778,215044,56619,2.9959597648304492,97.28490623868038,71778
sba.gov/funding-programs/loans,59501,192511,50959,3.235424614712358,80.21124014722442,59501
sba.gov/funding-programs/grants,57248,186339,51336,3.254943404136389,81.38357671883733,57248
caweb.sba.gov/clcs/dsp_search.cfm,55383,1840742,6556,33.23658884495242,4457.105357239586,55383
sba.gov/business-guide/10-steps-start-your-business,53865,138828,45053,2.5773322194374826,72.89778149076395,53865
sba.gov/about-sba/open-government/about-sbagov-website/sba-account-login-registration-portals,52088,247741,44589,4.756201044386423,122.36818461065889,52088
dsbs.sba.gov/search/dsp_profilelist.cfm,52083,199882,46187,3.8377589616573546,167.5521379336828,52083
sba.gov/funding-programs/loans/covid-19-relief-options/eidl,39833,106987,31122,2.685888584841714,70.67574624055432,39833
sba.gov/business-guide/launch-your-business/choose-business-structure,36242,101257,30640,2.7939131394514654,89.31408310799625,36242
caweb.sba.gov/elend/post/dataentry/dsp_frames.cfm,33723,1040286,4690,30.847967262699047,4330.093852860065,33723
caweb.sba.gov/elend/servicing/dataentry/dsp_frames.cfm,32436,405371,6040,12.497564434578862,1494.6596066099396,32436
sba.gov/about-sba/organization/sba-initiatives/small-business-saturday,28618,62894,25284,2.1977077363896846,47.89985323922007,28618
sba.gov/funding-programs/loans/7a-loans,27127,133569,22860,4.923839716887234,165.63947358720094,27127
sba.gov/local-assistance/find,26420,177675,20672,6.725018925056776,252.06400454201363,26420
dsbs.sba.gov/search/dsp_profile.cfm,25557,193840,13217,7.584614782642721,524.4158547560355,25557
sba.gov/business-guide/launch-your-business/register-your-business,25426,111970,22051,4.403759930779517,141.53303704869032,25426
