date,device,visits
2024-01-04,desktop,923895
2024-01-04,mobile,866902
2024-01-04,tablet,17352
2024-01-04,smart tv,136
2024-01-03,desktop,929467
2024-01-03,mobile,849794
2024-01-03,tablet,17619
2024-01-03,smart tv,147
2024-01-02,desktop,885762
2024-01-02,mobile,843851
2024-01-02,tablet,17837
2024-01-02,smart tv,153
2024-01-01,mobile,613534
2024-01-01,desktop,401790
2024-01-01,tablet,13632
2024-01-01,smart tv,91
2023-12-31,mobile,474333
2023-12-31,desktop,274930
2023-12-31,tablet,10235
2023-12-31,smart tv,51
2023-12-30,mobile,530568
2023-12-30,desktop,322125
2023-12-30,tablet,12037
2023-12-30,smart tv,45
2023-12-29,mobile,626552
2023-12-29,desktop,514996
2023-12-29,tablet,13183
2023-12-29,smart tv,72
2023-12-28,mobile,685720
2023-12-28,desktop,622272
2023-12-28,tablet,13904
2023-12-28,smart tv,124
2023-12-27,mobile,718644
2023-12-27,desktop,627865
2023-12-27,tablet,13952
2023-12-27,smart tv,111
2023-12-26,mobile,668168
2023-12-26,desktop,569237
2023-12-26,tablet,13651
2023-12-26,smart tv,127
2023-12-25,mobile,485909
2023-12-25,desktop,297640
2023-12-25,tablet,10018
2023-12-25,smart tv,123
2023-12-24,mobile,408506
2023-12-24,desktop,233920
2023-12-24,tablet,8523
2023-12-24,smart tv,74
2023-12-23,mobile,454532
2023-12-23,desktop,266203
2023-12-23,tablet,9631
2023-12-23,smart tv,33
2023-12-22,mobile,533073
2023-12-22,desktop,456954
2023-12-22,tablet,10734
2023-12-22,smart tv,94
2023-12-21,mobile,626120
2023-12-21,desktop,603017
2023-12-21,tablet,11811
2023-12-21,smart tv,137
2023-12-20,desktop,656574
2023-12-20,mobile,616309
2023-12-20,tablet,12265
2023-12-20,smart tv,126
2023-12-19,desktop,709417
2023-12-19,mobile,632200
2023-12-19,tablet,13078
2023-12-19,smart tv,153
2023-12-18,desktop,764930
2023-12-18,mobile,642932
2023-12-18,tablet,13583
2023-12-18,smart tv,156
2023-12-17,mobile,526521
2023-12-17,desktop,376019
2023-12-17,tablet,11875
2023-12-17,smart tv,103
2023-12-16,mobile,516235
2023-12-16,desktop,317954
2023-12-16,tablet,10380
2023-12-16,smart tv,43
2023-12-15,desktop,594761
2023-12-15,mobile,570123
2023-12-15,tablet,11423
2023-12-15,smart tv,72
2023-12-14,desktop,716178
2023-12-14,mobile,686256
2023-12-14,tablet,13693
2023-12-14,smart tv,127
2023-12-13,desktop,786560
2023-12-13,mobile,674669
2023-12-13,tablet,13685
2023-12-13,smart tv,157
2023-12-12,desktop,796686
2023-12-12,mobile,755626
2023-12-12,tablet,14400
2023-12-12,smart tv,131
2023-12-11,mobile,940662
2023-12-11,desktop,925296
2023-12-11,tablet,15868
2023-12-11,smart tv,135
2023-12-10,mobile,602040
2023-12-10,desktop,442433
2023-12-10,tablet,13824
2023-12-10,smart tv,95
2023-12-09,mobile,594903
2023-12-09,desktop,366422
2023-12-09,tablet,12495
2023-12-09,smart tv,44
2023-12-08,mobile,741217
2023-12-08,desktop,656914
2023-12-08,tablet,13484
2023-12-08,smart tv,86
2023-12-07,desktop,782066
2023-12-07,mobile,744654
2023-12-07,tablet,14974
2023-12-07,smart tv,167
2023-12-06,desktop,805082
2023-12-06,mobile,747350
2023-12-06,tablet,15742
2023-12-06,smart tv,139
