domain,page,page_title,pageviews
www.usaid.gov,www.usaid.gov/,U.S. Agency for International Development,44527
www.usaid.gov,www.usaid.gov/careers,"Careers | U.S. Agency for International Development",22093
www.usaid.gov,www.usaid.gov/careers/vacancy-announcements,"Vacancy Announcements | Careers | U.S. Agency for International Development",19877
www.usaid.gov,www.usaid.gov/careers/foreign-service,"Foreign Service | Careers | U.S. Agency for International Development",8128
www.usaid.gov,www.usaid.gov/business-forecast/search,"Business Forecast Search | U.S. Agency for International Development",4216
www.usaid.gov,www.usaid.gov/news-information,"News & Information | U.S. Agency for International Development",3688
www.usaid.gov,www.usaid.gov/pakistan,"Pakistan | U.S. Agency for International Development",3063
www.usaid.gov,www.usaid.gov/careers/student-internships,"Pathways for Students and Recent Graduates | Careers | U.S. Agency for International Development",3058
www.usaid.gov,www.usaid.gov/careers/civil-service,"Civil Service | Careers | U.S. Agency for International Development",3049
www.usaid.gov,www.usaid.gov/zambia/careers,"Careers | Zambia | U.S. Agency for International Development",2865
www.usaid.gov,www.usaid.gov/monitoring-and-evaluation-advisor-ndola-fsn-10,"Monitoring and Evaluation Advisor (Ndola), FSN-10 | Vacancy Announcement | Zambia | U.S. Agency for International Development",2802
www.usaid.gov,www.usaid.gov/partner-with-us/find-a-funding-opportunity,"Find a Funding Opportunity | Partner With Us | U.S. Agency for International Development",2499
www.usaid.gov,www.usaid.gov/forms/wh-380-e,"WH-380-E (Certification of Health Care Provider for Employee's Serious Health Condition) | Forms | U.S. Agency for International Development",2421
www.usaid.gov,www.usaid.gov/careers/urgent-hiring-needs,"Urgent Hiring Needs | Work with USAID | U.S. Agency for International Development",2167
www.usaid.gov,www.usaid.gov/business-forecast,"Business Forecast | Partner With Us | U.S. Agency for International Development",1892
www.usaid.gov,www.usaid.gov/honduras/work-with-us/careers,"Careers | Honduras | U.S. Agency for International Development",1825
www.usaid.gov,www.usaid.gov/forms/wh-380-f,"WH-380-F (Certification of Health Care Provider for Family Member's Serious Health Condition) | Forms | U.S. Agency for International Development",1722
www.usaid.gov,www.usaid.gov/bangladesh,"Bangladesh | U.S. Agency for International Development",1703
www.usaid.gov,www.usaid.gov/forms,"Forms | U.S. Agency for International Development",1619
www.usaid.gov,www.usaid.gov/democracy/document/drg-policy-public-review,"Bureau for Democracy, Human Rights, and Governance (DRG) Policy Public Review | Democracy, Human Rights & Governance | U.S. Agency for International Development",1562
