domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.usajobs.gov,/,64201578,7155226,4037450,8.9726834624091545,551.19441107454452,0.27325454150574696
www.usajobs.gov,/Search/Results,9755785,1300493,699588,7.501605160504516,463.46248063416823,0.29326032512285727
www.usajobs.gov,/Applicant/Profile/Dashboard/,3947201,268065,155962,14.724790629138456,1294.9531217333533,0.076552328726241764
www.opm.gov,/,2740597,528571,391043,5.1849174472303625,363.56527620403062,0.1764606836167705
www.usajobs.gov,/Applicant/Profile/Dashboard,2236100,182362,114762,12.261874732674571,948.61986820504694,0.11323082659764644
www.opm.gov,/policy-data-oversight/pay-leave/salaries-wages/2024/general-schedule,1450619,548117,435850,2.6465499154377623,226.06956529605239,0.20240021747181716
www.usajobs.gov,/Search/Results?query=startdate,1444175,326670,98778,4.4208987663391186,393.82496592366027,0.41546820950806623
www.opm.gov,/policy-data-oversight/pay-leave/salaries-wages/,1156844,268068,208893,4.3154871152095735,285.95323108320463,0.17559723652207648
www.usajobs.gov,/Applicant/Profile/,1149051,101484,97264,11.322484332505617,686.816333896025,0.12795120413070041
www.usajobs.gov,/Search/Results/,1088571,106850,83732,10.187852129153018,576.618239664517,0.12479176415535798
www.opm.gov,/policy-data-oversight/pay-leave/salaries-wages/2023/general-schedule/,834027,314658,263793,2.6505825372308984,198.84745672573749,0.24276516090485542
www.usajobs.gov,/help/working-in-government/unique-hiring-paths/public/,642064,49889,44117,12.869851069374011,729.55891432769761,0.04822706408226262
www.opm.gov,/policy-data-oversight/pay-leave/pay-systems/general-schedule/,638744,170201,141920,3.7528804178588846,206.79063103591696,0.12366554838103185
www.usajobs.gov,/search/results/,556189,89585,59201,6.2085058882625441,430.18469916231845,0.51257464977395772
www.usajobs.gov,/Help/faq/email/usajobs-is-now-using-login-gov/,551864,40928,27420,13.483776387802971,874.91444445530976,0.073714816262705235
www.opm.gov,/policy-data-oversight/pay-leave/federal-holidays/,485776,412915,363696,1.176455202644612,191.21697701856525,0.47403702941283316
www.opm.gov,/healthcare-insurance/healthcare/plan-information/compare-plans/,382079,75290,65421,5.0747642449196437,834.44133880279787,0.13811927214769557
www.usajobs.gov,/Search,355173,45841,34839,7.7479112584804,458.07795632067354,0.16389258524028708
www.usajobs.gov,/Search/,337342,43156,26083,7.8168041523774212,473.38126140261278,0.14832236537213828
www.usajobs.gov,/Applicant/Profile,318015,19752,11007,16.100394896719319,1132.6126394293028,0.052450384771162414
