date,device,visits
2024-01-04,mobile,10448439
2024-01-04,desktop,2967531
2024-01-04,tablet,166334
2024-01-04,smart tv,293
2024-01-03,mobile,10055770
2024-01-03,desktop,2875478
2024-01-03,tablet,155225
2024-01-03,smart tv,271
2024-01-02,mobile,10858021
2024-01-02,desktop,3064886
2024-01-02,tablet,166307
2024-01-02,smart tv,283
2024-01-01,mobile,5446180
2024-01-01,desktop,1048508
2024-01-01,tablet,86945
2024-01-01,smart tv,211
2023-12-31,mobile,5028674
2023-12-31,desktop,890026
2023-12-31,tablet,80778
2023-12-31,smart tv,153
2023-12-30,mobile,8684177
2023-12-30,desktop,1486281
2023-12-30,tablet,136209
2023-12-30,smart tv,242
2023-12-29,mobile,9863390
2023-12-29,desktop,2279870
2023-12-29,tablet,157154
2023-12-29,smart tv,264
2023-12-28,mobile,9843140
2023-12-28,desktop,2612445
2023-12-28,tablet,152172
2023-12-28,smart tv,232
2023-12-27,mobile,9291542
2023-12-27,desktop,2590889
2023-12-27,tablet,148916
2023-12-27,smart tv,216
2023-12-26,mobile,10330047
2023-12-26,desktop,2376890
2023-12-26,tablet,156850
2023-12-26,smart tv,270
2023-12-25,mobile,4599863
2023-12-25,desktop,758851
2023-12-25,tablet,68328
2023-12-25,smart tv,117
2023-12-24,mobile,6292043
2023-12-24,desktop,989489
2023-12-24,tablet,87354
2023-12-24,smart tv,124
2023-12-23,mobile,10897628
2023-12-23,desktop,1797090
2023-12-23,tablet,162719
2023-12-23,smart tv,176
2023-12-22,mobile,13359531
2023-12-22,desktop,3063370
2023-12-22,tablet,190684
2023-12-22,smart tv,245
2023-12-21,mobile,14484005
2023-12-21,desktop,3544125
2023-12-21,tablet,206181
2023-12-21,smart tv,248
2023-12-20,mobile,14567740
2023-12-20,desktop,3723792
2023-12-20,tablet,214731
2023-12-20,smart tv,253
2023-12-19,mobile,14822044
2023-12-19,desktop,3941611
2023-12-19,tablet,215638
2023-12-19,smart tv,260
2023-12-18,mobile,15554468
2023-12-18,desktop,4226173
2023-12-18,tablet,230836
2023-12-18,smart tv,269
2023-12-17,mobile,9050885
2023-12-17,desktop,1694676
2023-12-17,tablet,148030
2023-12-17,smart tv,223
2023-12-16,mobile,12303321
2023-12-16,desktop,2151592
2023-12-16,tablet,209759
2023-12-16,smart tv,297
2023-12-15,mobile,13378591
2023-12-15,desktop,3427823
2023-12-15,tablet,210823
2023-12-15,smart tv,287
2023-12-14,mobile,13958136
2023-12-14,desktop,3679063
2023-12-14,tablet,215476
2023-12-14,smart tv,291
2023-12-13,mobile,13370588
2023-12-13,desktop,3729205
2023-12-13,tablet,209845
2023-12-13,smart tv,295
2023-12-12,mobile,13271086
2023-12-12,desktop,3807072
2023-12-12,tablet,210273
2023-12-12,smart tv,280
2023-12-11,mobile,14487300
2023-12-11,desktop,4160593
2023-12-11,tablet,235958
2023-12-11,smart tv,282
2023-12-10,mobile,8500167
2023-12-10,desktop,1648432
2023-12-10,tablet,148569
2023-12-10,smart tv,181
2023-12-09,mobile,11612591
2023-12-09,desktop,2077088
2023-12-09,tablet,198827
2023-12-09,smart tv,284
2023-12-08,mobile,13530361
2023-12-08,desktop,3383520
2023-12-08,tablet,207035
2023-12-08,smart tv,297
2023-12-07,mobile,14213653
2023-12-07,desktop,3814921
2023-12-07,tablet,212666
2023-12-07,smart tv,313
2023-12-06,mobile,14132953
2023-12-06,desktop,3689898
2023-12-06,tablet,214998
2023-12-06,smart tv,364
2023-12-05,mobile,14614483
2023-12-05,desktop,3851206
2023-12-05,tablet,217277
2023-12-05,smart tv,329
2023-12-04,mobile,15877146
2023-12-04,desktop,4185111
2023-12-04,tablet,236227
2023-12-04,smart tv,333
2023-12-03,mobile,9166020
2023-12-03,desktop,1633590
2023-12-03,tablet,147306
2023-12-03,smart tv,201
2023-12-02,mobile,12486828
2023-12-02,desktop,2105733
2023-12-02,tablet,196079
2023-12-02,smart tv,259
2023-12-01,mobile,14090630
2023-12-01,desktop,3436920
2023-12-01,tablet,209652
2023-12-01,smart tv,267
2023-11-30,mobile,13882644
2023-11-30,desktop,3659776
2023-11-30,tablet,204894
2023-11-30,smart tv,246
2023-11-29,mobile,12867017
2023-11-29,desktop,3407790
2023-11-29,tablet,201651
2023-11-29,smart tv,235
2023-11-28,mobile,12049983
2023-11-28,desktop,3397848
2023-11-28,tablet,184856
2023-11-28,smart tv,240
2023-11-27,mobile,11631387
2023-11-27,desktop,3442101
2023-11-27,tablet,181691
2023-11-27,smart tv,220
2023-11-26,mobile,6448725
2023-11-26,desktop,1299617
2023-11-26,tablet,109146
2023-11-26,smart tv,155
2023-11-25,mobile,8541890
2023-11-25,desktop,1512244
2023-11-25,tablet,145142
2023-11-25,smart tv,208
2023-11-24,mobile,9564918
2023-11-24,desktop,1905858
2023-11-24,tablet,162788
2023-11-24,smart tv,281
2023-11-23,mobile,5345677
2023-11-23,desktop,961084
2023-11-23,tablet,86188
2023-11-23,smart tv,197
2023-11-22,mobile,9405928
2023-11-22,desktop,2477235
2023-11-22,tablet,145263
2023-11-22,smart tv,235
2023-11-21,mobile,9936335
2023-11-21,desktop,2817189
2023-11-21,tablet,158160
2023-11-21,smart tv,256
2023-11-20,mobile,10626483
2023-11-20,desktop,3014004
2023-11-20,tablet,166984
2023-11-20,smart tv,274
2023-11-19,mobile,5954865
2023-11-19,desktop,1154104
2023-11-19,tablet,101202
2023-11-19,smart tv,164
2023-11-18,mobile,8357029
2023-11-18,desktop,1586299
2023-11-18,tablet,142031
2023-11-18,smart tv,215
2023-11-17,mobile,9968460
2023-11-17,desktop,2655265
2023-11-17,tablet,156477
2023-11-17,smart tv,215
2023-11-16,mobile,10358141
2023-11-16,desktop,2882907
2023-11-16,tablet,159289
2023-11-16,smart tv,199
2023-11-15,mobile,10078876
2023-11-15,desktop,2936535
2023-11-15,tablet,157529
2023-11-15,smart tv,206
2023-11-14,mobile,9546102
2023-11-14,desktop,2877848
2023-11-14,tablet,149933
2023-11-14,smart tv,225
2023-11-13,mobile,11704689
2023-11-13,desktop,3356132
2023-11-13,tablet,176889
2023-11-13,smart tv,368
2023-11-12,mobile,5708866
2023-11-12,desktop,1080820
2023-11-12,tablet,93269
2023-11-12,smart tv,191
2023-11-11,mobile,6302259
2023-11-11,desktop,1148724
2023-11-11,tablet,107993
2023-11-11,smart tv,249
2023-11-10,mobile,8716443
2023-11-10,desktop,2238251
2023-11-10,tablet,138137
2023-11-10,smart tv,278
2023-11-09,mobile,9201484
2023-11-09,desktop,2577247
2023-11-09,tablet,144742
2023-11-09,smart tv,232
2023-11-08,mobile,9192479
2023-11-08,desktop,2689368
2023-11-08,tablet,140700
2023-11-08,smart tv,203
2023-11-07,mobile,8579188
2023-11-07,desktop,2588451
2023-11-07,tablet,132229
2023-11-07,smart tv,224
2023-11-06,mobile,9210890
2023-11-06,desktop,2732747
2023-11-06,tablet,141398
2023-11-06,smart tv,276
2023-11-05,mobile,4928525
2023-11-05,desktop,1009556
2023-11-05,tablet,80365
2023-11-05,smart tv,181
2023-11-04,mobile,6945141
2023-11-04,desktop,1280804
2023-11-04,tablet,109762
2023-11-04,smart tv,184
2023-11-03,mobile,8129575
2023-11-03,desktop,2318288
2023-11-03,tablet,122384
2023-11-03,smart tv,203
2023-11-02,mobile,8468964
2023-11-02,desktop,2475249
2023-11-02,tablet,128584
2023-11-02,smart tv,215
