exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
va.gov/,5191170,12940555,2611253,2.4928012374859616,130.6818657451018,5191170
myhealth.va.gov/mhv-portal-web/home,4439468,6998033,3627190,1.576322433228486,47.527727421393735,4439468
va.gov/sign-in/,2794898,4378922,2119979,1.5667555667505577,39.472832282251446,2794898
eauth.va.gov/accessva/,2115562,3758279,869294,1.7764920148877699,146.71024767886738,2115562
mhvidp-prod.myhealth.va.gov/mhv-portal-web/web/guest/home,1753944,2281780,957894,1.3009423333926282,26.132212887070512,1753944
news.va.gov/125193/2023-veterans-day-discounts-free-meals/,1454132,1946017,1030861,1.3382670899203097,241.1922851570559,1454132
myhealth.va.gov/web/myhealthevet/home,1042745,9037619,456473,8.6671420145865,427.8091959203832,1042745
ebenefits.va.gov/ebenefits/homepage,589630,1140406,301481,1.934104438376609,89.33323440123468,589630
va.gov/claim-or-appeal-status/,518825,884341,236446,1.704507300149376,52.96878330843733,518825
va.gov/track-claims/,431155,2096007,178346,4.861376998991082,153.0998898308033,431155
news.va.gov/110751/free-lifetime-pass-to-national-parks/,354312,404089,304877,1.1404891733839102,76.19499198446567,354312
va.gov/my-va/,344029,1600531,209809,4.65231419444291,203.84588217853727,344029
myhealth.va.gov/mhv-portal-web/refill-prescriptions,332360,2156925,211759,6.489724996991215,238.30813876519437,332360
myhealth.va.gov/mhv-portal-web/web/myhealthevet/user-login,328093,1147632,211191,3.4978862700514792,154.59078980654874,328093
myhealth.va.gov/mhv-portal-web/secure-messaging,327767,2641889,194699,8.060265371437637,352.8172451772143,327767
mentalhealth.va.gov/index.asp,325916,448468,190539,1.3760232697995802,129.03618417015429,325916
va.gov/disability/compensation-rates/veteran-rates/,301495,495852,216157,1.6446441897875588,92.47831307318529,301495
va.gov/manage-va-debt/,274393,368445,209547,1.34276384601648,50.261256664710835,274393
va.gov/find-locations/,271091,574958,190439,2.1209040506693326,154.02630113135442,271091
mentalhealth.va.gov/substance-use/index.asp,260964,346715,157711,1.3285932159225027,55.81812817093545,260964
