domain,page,page_title,pageviews
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/home,Home - My HealtheVet - My HealtheVet,2312298
www.va.gov,www.va.gov/,"VA.gov Home | Veterans Affairs",2098433
(other),(other),(other),2050144
www.va.gov,www.va.gov/auth/login/callback,"Auth | Veterans Affairs",1034264
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/web/myhealthevet/user-login,Sign In - My HealtheVet - My HealtheVet,986476
www.va.gov,www.va.gov/my-va/,"My VA | Veterans Affairs",973891
www.va.gov,www.va.gov/sign-in/,"Login Page | Veterans Affairs",777215
eauth.va.gov,eauth.va.gov/accessva/,AccessVA,634418
www.va.gov,www.va.gov/?next=loginModal,"VA.gov Home | Veterans Affairs",611164
mhvidp-prod.myhealth.va.gov,mhvidp-prod.myhealth.va.gov/mhv-portal-web/web/guest/home,Home - My HealtheVet,521957
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,412935
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/refill-prescriptions,Refill VA Prescriptions - My HealtheVet - My HealtheVet,388942
www.va.gov,www.va.gov/claim-or-appeal-status/,"Check Your VA Claim, Decision Review, Or Appeal Status | Veterans Affairs",378816
www.va.gov,www.va.gov/track-claims/your-claims,"Check your claim, decision review, or appeal status | Veterans Affairs",303457
eauth.va.gov,eauth.va.gov/mhv-portal-web/web/myhealthevet/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,300009
www.myhealth.va.gov,www.myhealth.va.gov/web/myhealthevet/home,Home - My HealtheVet - My HealtheVet,284357
eauth.va.gov,eauth.va.gov/mhv-portal-web/web/myhealthevet/home,Home - My HealtheVet - My HealtheVet,253651
www.va.gov,www.va.gov/track-claims/,"Track Claims | Veterans Affairs",239796
www.myhealth.va.gov,www.myhealth.va.gov/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,238456
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/labs-tests,Labs and Tests - My HealtheVet - My HealtheVet,221927
