exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
data.bls.gov/search/query/results,850800,1102963,412889,1.2963834038551951,26.315014104372356,850800
bls.gov/,338673,512810,267384,1.5141744396512269,71.43095257076885,338673
bls.gov/ooh/,338415,543327,240620,1.6055050751296485,72.53360814384705,338415
flag.dol.gov/processingtimes,245681,325857,118233,1.3263418823596453,58.37734297727541,245681
dol.gov/,215769,299936,200453,1.3900792050757986,41.58389295960031,215769
osha.gov/,197111,315364,163794,1.5999310033432939,86.08821932819579,197111
bls.gov/data/inflation_calculator.htm,192914,241977,161130,1.2543257617383912,48.491395129435915,192914
careeronestop.org/toolkit/careers/occupations/occupation-profile.aspx,191680,1490560,139236,7.776293823038397,491.47328359766277,191680
search.osha.gov/search,146365,251560,86042,1.7187169063642265,55.86108017627165,146365
flag.dol.gov/dashboard,146212,311153,21768,2.1280948212185047,233.9554072169179,146212
bls.gov/cpi/,138771,225918,117733,1.6279914391335366,65.12236706516491,138771
flag.dol.gov/,119857,166850,28644,1.3920755567050735,138.98875326430664,119857
idcfoews.bls.gov/oewslite/,116616,217696,18370,1.8667764286204294,148.93373979556836,116616
dol.gov/agencies/whd/fmla/forms,111777,255450,87398,2.2853538742317294,208.0203977562468,111777
bls.gov/news.release/cpi.nr0.htm,97685,200466,84311,2.052167681834468,85.43688386139121,97685
(not set),92027,0,52008,0.0,81.62017668727655,0
idcfars.bls.gov/ars/authentication/logout,86182,131957,8091,1.5311433942122485,74.14695644102017,86182
careeronestop.org/,84674,187695,67615,2.216678083000685,109.35954366157262,84674
dol.gov/agencies/whd/fmla,82944,125942,74837,1.5183979552469136,64.91731770833333,82944
owcpmed.dol.gov/portal/provider/provider-login,78582,136671,25710,1.739215087424601,205.69510829452037,78582
