page_title,event_label,page,total_events
"Federal Pell Grants | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/grants/pell,3554
"Public Service Loan Forgiveness Form | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/public-service/public-service-loan-forgiveness-application,3329
"Filling Out the FAFSA® Form | Federal Student Aid",file_download,studentaid.gov/apply-for-aid/fafsa/filling-out,3044
"Teacher Loan Forgiveness | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/teacher,1965
"Resources | Federal Student Aid",file_download,studentaid.gov/resources#fafsa,1782
6 Things Students Need Before They Fill Out the 2024–25 FAFSA® Form – Federal Student Aid,file_download,studentaid.gov/articles/things-you-need-for-fafsa/,1694
"Total and Permanent Disability Discharge | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/disability-discharge,1501
Negotiated Rulemaking for Higher Education 2023-2024,file_download,www2.ed.gov/policy/highered/reg/hearulemaking/2023/index.html,1132
"Resources | Federal Student Aid",file_download,studentaid.gov/resources,1121
"Subsidized and Unsubsidized Loans | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/loans/subsidized-unsubsidized,1083
"Student Loan Deferment | Federal Student Aid",file_download,studentaid.gov/manage-loans/lower-payments/get-temporary-relief/deferment,915
"Dependency Status | Federal Student Aid",file_download,studentaid.gov/apply-for-aid/fafsa/filling-out/dependency,849
"Student Loan Forbearance | Federal Student Aid",file_download,studentaid.gov/manage-loans/lower-payments/get-temporary-relief/forbearance,797
"OCR Search | OCR",file_download,ocrcas.ed.gov/ocr-search,790
"How Aid Is Calculated | Federal Student Aid",file_download,studentaid.gov/complete-aid-process/how-calculated#efc,775
"Loans | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/loans,637
"Loan and Grant Fact Sheets | Federal Student Aid",file_download,studentaid.gov/resources/loan-grant-fact-sheets,620
"Sweet v. Cardona Settlement | Federal Student Aid",file_download,studentaid.gov/announcements-events/sweet-settlement,603
"Public Service Loan Forgiveness | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/public-service,577
8 Easy Steps for Parents Completing the 2023–24 FAFSA® Form – Federal Student Aid,file_download,studentaid.gov/articles/fafsa-for-parents/,530
SY 2022-23 Non-XML File Specifications,file_download,www2.ed.gov/about/inits/ed/edfacts/sy-22-23-nonxml.html,453
"Borrower Defense Loan Discharge | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/borrower-defense,418
Regional Advisory Committees - Office of Elementary and Secondary Education,file_download,oese.ed.gov/offices/office-of-formula-grants/program-and-grantee-support-services/comprehensive-centers-program/regional-advisory-committees/,408
"How can I download my aid data? | Federal Student Aid",file_download,studentaid.gov/help-center/answers/article/how-can-i-download-my-aid-data,389
2023 Awardees,file_download,nationalblueribbonschools.ed.gov/awardwinners,346
"How Aid Is Calculated | Federal Student Aid",file_download,studentaid.gov/complete-aid-process/how-calculated,337
2023 Awardees,file_download,nationalblueribbonschools.ed.gov/awardwinners/,332
"Has Your School Closed? Here’s What to Do. | Federal Student Aid",file_download,studentaid.gov/announcements-events/closed-school,317
Negotiated Rulemaking for Higher Education 2023-2024,file_download,www2.ed.gov/policy/highered/reg/hearulemaking/2023/index.html#iqa,288
Civil Rights Data,file_download,www2.ed.gov/about/offices/list/ocr/data.html,287
Awards - Blue Ribbon Schools Program,file_download,www2.ed.gov/programs/nclbbrs/awards.html,286
Program Overview - Office of Elementary and Secondary Education,file_download,oese.ed.gov/offices/office-of-discretionary-grants-support-services/effective-educator-development-programs/school-ambassador-fellowship-program/program-overview/,282
Artificial Intelligence and the Future of Teaching and Learning - Office of Educational Technology,file_download,tech.ed.gov/ai-future-of-teaching-and-learning/,280
"Aid for International Study | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/international,276
"Grants | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/grants,263
"Teacher Loan Forgiveness | Federal Student Aid",file_download,studentaid.gov/manage-loans/forgiveness-cancellation/teacher#how-and-when-do-i-apply-for-teacher-loan-forgiveness,259
"Federal Student Loan Portfolio | Federal Student Aid",file_download,studentaid.gov/data-center/student/portfolio,226
"Student Loan Repayment | Federal Student Aid",file_download,studentaid.gov/manage-loans/repayment,221
Awards - U.S. Presidential Scholars Program,file_download,www2.ed.gov/programs/psp/awards.html,202
Awards - Office of Elementary and Secondary Education,file_download,oese.ed.gov/offices/office-of-discretionary-grants-support-services/innovation-early-learning/education-innovation-and-research-eir/awards/,190
"Every Student Succeeds Act (ESSA) | U.S. Department of Education",file_download,www.ed.gov/essa,186
Applicant Information - Office of Elementary and Secondary Education,file_download,oese.ed.gov/offices/office-of-discretionary-grants-support-services/effective-educator-development-programs/school-ambassador-fellowship-program/applicant-information/,182
"Parent PLUS Loans | Federal Student Aid",file_download,studentaid.gov/understand-aid/types/loans/plus/parent,178
