exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ncbi.nlm.nih.gov/ncbi_pmc-frontend_pmc_article,130419803,217005725,75718839,1.6639016468994359,158.85544257416183,130419803
pubmed.ncbi.nlm.nih.gov/ncbi_pubmed_pubmed_abstract,92976280,287052592,48303394,3.0873744572271553,282.82679913629585,92976280
ncbi.nlm.nih.gov/ncbi_bookshelf_books_book-part,21622522,31469573,15621431,1.4554071444579868,138.7351435692839,21622522
pubmed.ncbi.nlm.nih.gov/pubmed/index.html,13381068,91548589,6152989,6.841650382465734,497.3759642354407,13381068
(other),9681111,31030959,7425447,3.205309700508547,195.2370315762313,9681111
ncbi.nlm.nih.gov/ncbi_entrez_gene_full_report,9677509,15854347,7590747,1.6382673475168041,95.38145611644484,9677509
medicare.gov/plan-compare/index.html,5740360,54640721,3342122,9.518692381662474,781.0260203192831,5740360
covid.gov/tests,5217661,6539504,4588610,1.2533401460922815,59.44107541674325,5217661
healthcare.gov/subscribe/index.html,4918751,5318806,4068911,1.0813326391191584,18.6165561135337,4918751
pubmed.ncbi.nlm.nih.gov/pubmed,4126967,10788019,2596029,2.6140308366895106,186.05323473630878,4126967
nhlbi.nih.gov/health/educational/lose_wt/bmi/bmicalc.htm,3948232,5041463,2947470,1.2768912769057137,43.47594037027206,3948232
healthcare.gov/index.html,3415087,5013619,2464546,1.4680794369221049,93.15386225885314,3415087
pubchem.ncbi.nlm.nih.gov/ncbi_pc-rest-compounds_pubchem_summary,3091305,7510524,2073894,2.429564213172107,221.98551291444875,3091305
vsearch.nlm.nih.gov/vivisimo/cgi-bin/query-meta,2412422,3830189,1853089,1.5876944415197674,60.40794852641868,2412422
ncbi.nlm.nih.gov/index.html,1862833,4971726,1153321,2.6689059083664506,169.59134554734644,1862833
fda.gov/drugs/drug-safety-and-availability/fda-warns-consumers-not-purchase-or-use-certain-eye-drops-several-major-brands-due-risk-eye,1714468,1904710,1450708,1.1109627009661307,27.253475713749104,1714468
medicare.gov/index.html,1710267,6381748,1299093,3.7314337468944907,269.7192818431274,1710267
ncbi.nlm.nih.gov/ncbi_entrez_nuccore_genbank,1378353,6704237,1045784,4.863947769548149,272.1373545093311,1378353
healthcare.gov/see-plans/index.html,1248107,19884289,584858,15.931557951361542,725.0286810345588,1248107
fda.gov/medical-devices/coronavirus-covid-19-and-medical-devices/home-otc-covid-19-diagnostic-tests,1154608,1578050,969324,1.366740919861979,73.11692713024681,1154608
