domain,page,page_title,pageviews
(other),(other),(other),13167453
www.nhlbi.nih.gov,www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmicalc.htm,Calculate Your BMI - Standard BMI Calculator,1272585
www.healthcare.gov,www.healthcare.gov/,"Open Enrollment ends Jan 16 - enroll now | HealthCare.gov",918372
www.covid.gov,www.covid.gov/tools-and-resources/resources/tests,"Get Four Free At-⁠Home COVID-⁠19 Tests This Fall | COVID.gov",674737
www.medicare.gov,www.medicare.gov/,"Welcome to Medicare | Medicare",625441
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/SearchResults.aspx,OIG Search Results,622247
www.cdc.gov,www.cdc.gov/coronavirus/2019-ncov/your-health/isolation.html,"Isolation and Precautions for People with COVID-19 | CDC",590569
www.healthcare.gov,www.healthcare.gov/subscribe/,"Subscribe to get Marketplace updates by email and text message | HealthCare.gov",554868
www.cdc.gov,www.cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,"Adult BMI Calculator | Healthy Weight, Nutrition, and Physical Activity | CDC",441950
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/default.aspx,"Search the Exclusions Database | Office of Inspector General",412178
www.accessdata.fda.gov,www.accessdata.fda.gov/scripts/cder/daf/index.cfm,Drugs@FDA: FDA-Approved Drugs,385185
www.fda.gov,www.fda.gov/medical-devices/coronavirus-covid-19-and-medical-devices/home-otc-covid-19-diagnostic-tests#list,"At-Home OTC COVID-19 Diagnostic Tests | FDA",342956
www.cdc.gov,www.cdc.gov/,Centers for Disease Control and Prevention,286470
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/,"Search the Exclusions Database | Office of Inspector General",282740
www.nhlbi.nih.gov,www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmi-m.htm,Calculate Your BMI - Metric BMI Calculator,282194
www.cdc.gov,www.cdc.gov/healthyweight/spanish/assessing/bmi/adult_bmi/metric_bmi_calculator/bmi_calculator.html,"Calculadora del IMC para adultos: Sistema métrico | Peso Saludable | DNPAO | CDC",262248
www.covid.gov,www.covid.gov/,"Find COVID-19 guidance for your community | COVID.gov",254802
www.medicare.gov,www.medicare.gov/plan-compare/#/,Explore your Medicare coverage options,244487
www.accessdata.fda.gov,www.accessdata.fda.gov/scripts/ires/,Enforcement Report,226326
www.fda.gov,www.fda.gov/,U.S. Food and Drug Administration,208835
