date,browser_version,visits
2015-09-18,11.0,2480474
2015-09-18,9.0,660787
2015-09-18,10.0,438339
2015-09-18,7.0,376345
2015-09-18,8.0,311844
2015-09-19,11.0,1023777
2015-09-19,9.0,147722
2015-09-19,10.0,103529
2015-09-19,8.0,84698
2015-09-19,7.0,51137
2015-09-20,11.0,1075564
2015-09-20,9.0,143439
2015-09-20,10.0,102762
2015-09-20,8.0,81706
2015-09-20,7.0,49025
2015-09-21,11.0,3010472
2015-09-21,9.0,765686
2015-09-21,10.0,531394
2015-09-21,7.0,443595
2015-09-21,8.0,357886
2015-09-21,6.0,1141
2015-09-22,11.0,2942556
2015-09-22,9.0,741192
2015-09-22,10.0,524339
2015-09-22,7.0,413131
2015-09-22,8.0,352474
2015-09-22,6.0,1098
2015-09-23,11.0,2847990
2015-09-23,9.0,712325
2015-09-23,10.0,508823
2015-09-23,7.0,391434
2015-09-23,8.0,335224
2015-09-23,6.0,1095
2015-09-24,11.0,2775933
2015-09-24,9.0,692314
2015-09-24,10.0,497846
2015-09-24,7.0,393288
2015-09-24,8.0,324771
2015-09-25,11.0,2430866
2015-09-25,9.0,596695
2015-09-25,10.0,420636
2015-09-25,7.0,342654
2015-09-25,8.0,281962
2015-09-26,11.0,1019316
2015-09-26,9.0,136679
2015-09-26,10.0,101865
2015-09-26,8.0,78222
2015-09-26,7.0,43926
2015-09-27,11.0,1295333
2015-09-27,9.0,148276
2015-09-27,10.0,119156
2015-09-27,8.0,83809
2015-09-27,7.0,45192
2015-09-28,11.0,3280782
2015-09-28,9.0,784089
2015-09-28,10.0,570515
2015-09-28,7.0,417190
2015-09-28,8.0,364483
2015-09-28,6.0,1177
2015-09-29,11.0,3290200
2015-09-29,9.0,803706
2015-09-29,10.0,583052
2015-09-29,7.0,434481
2015-09-29,8.0,377762
2015-09-29,6.0,1242
2015-09-30,11.0,3206527
2015-09-30,9.0,786883
2015-09-30,10.0,578503
2015-09-30,7.0,409775
2015-09-30,8.0,361941
2015-09-30,6.0,1154
2015-10-01,11.0,3220708
2015-10-01,9.0,779151
2015-10-01,10.0,586267
2015-10-01,7.0,416567
2015-10-01,8.0,359343
2015-10-01,6.0,1012
2015-10-02,11.0,2763263
2015-10-02,9.0,650889
2015-10-02,10.0,473964
2015-10-02,7.0,349189
2015-10-02,8.0,304648
2015-10-03,11.0,1217465
2015-10-03,9.0,153082
2015-10-03,10.0,112764
2015-10-03,8.0,95479
2015-10-03,7.0,48274
2015-10-04,11.0,1226920
2015-10-04,9.0,148462
2015-10-04,10.0,108972
2015-10-04,8.0,89533
2015-10-04,7.0,45210
2015-10-05,11.0,3111282
2015-10-05,9.0,730144
2015-10-05,10.0,527982
2015-10-05,7.0,422411
2015-10-05,8.0,343307
2015-10-05,6.0,1043
2015-10-06,11.0,3045653
2015-10-06,9.0,722859
2015-10-06,10.0,523631
2015-10-06,7.0,412654
2015-10-06,8.0,343815
2015-10-06,6.0,1027
2015-10-07,11.0,3017476
2015-10-07,9.0,706145
2015-10-07,10.0,511544
2015-10-07,7.0,404008
2015-10-07,8.0,337475
2015-10-07,6.0,1040
2015-10-08,11.0,2934818
2015-10-08,9.0,682719
2015-10-08,10.0,498419
2015-10-08,7.0,385430
2015-10-08,8.0,327371
2015-10-08,6.0,1161
2015-10-09,11.0,2507304
2015-10-09,9.0,556227
2015-10-09,10.0,407039
2015-10-09,7.0,311213
2015-10-09,8.0,281273
2015-10-09,6.0,1083
2015-10-10,11.0,1047759
2015-10-10,9.0,130610
2015-10-10,10.0,98234
2015-10-10,8.0,86564
2015-10-10,7.0,40885
2015-10-11,11.0,1085040
2015-10-11,9.0,130640
2015-10-11,10.0,96777
2015-10-11,8.0,81221
2015-10-11,7.0,38617
2015-10-12,11.0,2498385
2015-10-12,9.0,455929
2015-10-12,10.0,353413
2015-10-12,8.0,239816
2015-10-12,7.0,127125
2015-10-12,6.0,1020
2015-10-13,11.0,3148808
2015-10-13,9.0,720154
2015-10-13,10.0,520772
2015-10-13,7.0,415234
2015-10-13,8.0,343469
2015-10-13,6.0,1137
2015-10-14,11.0,3089708
2015-10-14,9.0,704338
2015-10-14,10.0,506920
2015-10-14,7.0,409916
2015-10-14,8.0,331436
2015-10-14,6.0,1034
2015-10-15,11.0,3082359
2015-10-15,9.0,685478
2015-10-15,10.0,502354
2015-10-15,7.0,401252
2015-10-15,8.0,327710
2015-10-15,6.0,1849
2015-10-16,11.0,2493963
2015-10-16,9.0,559839
2015-10-16,10.0,409536
2015-10-16,7.0,338509
2015-10-16,8.0,272502
2015-10-16,6.0,1011
2015-10-17,11.0,1035213
2015-10-17,9.0,129576
2015-10-17,10.0,98688
2015-10-17,8.0,80714
2015-10-17,7.0,44204
2015-10-18,11.0,1086610
2015-10-18,9.0,130110
2015-10-18,10.0,97979
2015-10-18,8.0,83842
2015-10-18,7.0,43078
2015-10-19,11.0,3138679
2015-10-19,9.0,704108
2015-10-19,10.0,519161
2015-10-19,7.0,416705
2015-10-19,8.0,337394
2015-10-19,6.0,1146
2015-10-20,11.0,3130674
2015-10-20,9.0,703918
2015-10-20,10.0,521507
2015-10-20,7.0,420096
2015-10-20,8.0,334583
2015-10-20,6.0,1443
2015-10-21,11.0,3056345
2015-10-21,9.0,679351
2015-10-21,10.0,508688
2015-10-21,7.0,405920
2015-10-21,8.0,325659
2015-10-21,6.0,1271
2015-10-22,11.0,2970771
2015-10-22,9.0,657829
2015-10-22,10.0,492511
2015-10-22,7.0,390993
2015-10-22,8.0,311989
2015-10-22,6.0,1022
2015-10-23,11.0,2727362
2015-10-23,9.0,596873
2015-10-23,10.0,441265
2015-10-23,7.0,337195
2015-10-23,8.0,282751
2015-10-24,11.0,1133251
2015-10-24,9.0,140235
2015-10-24,10.0,106524
2015-10-24,8.0,91202
2015-10-24,7.0,49721
2015-10-25,11.0,1176530
2015-10-25,9.0,135306
2015-10-25,10.0,102875
2015-10-25,8.0,84874
2015-10-25,7.0,46980
2015-10-26,11.0,3239860
2015-10-26,9.0,699438
2015-10-26,10.0,526178
2015-10-26,7.0,422399
2015-10-26,8.0,335067
2015-10-26,6.0,1073
2015-10-27,11.0,3271998
2015-10-27,9.0,703371
2015-10-27,10.0,540680
2015-10-27,7.0,411911
2015-10-27,8.0,344666
2015-10-27,6.0,1091
2015-10-28,11.0,3177314
2015-10-28,9.0,673871
2015-10-28,10.0,507248
2015-10-28,7.0,407160
2015-10-28,8.0,327242
2015-10-28,6.0,1078
2015-10-29,11.0,3007820
2015-10-29,9.0,628316
2015-10-29,10.0,475683
2015-10-29,7.0,396344
2015-10-29,8.0,302307
2015-10-29,6.0,1351
2015-10-30,11.0,2532682
2015-10-30,9.0,522230
2015-10-30,10.0,391294
2015-10-30,7.0,341160
2015-10-30,8.0,262247
2015-10-31,11.0,1083306
2015-10-31,9.0,129006
2015-10-31,10.0,93938
2015-10-31,8.0,87776
2015-10-31,7.0,42237
2015-11-01,11.0,1228976
2015-11-01,9.0,134267
2015-11-01,10.0,101917
2015-11-01,8.0,91742
2015-11-01,7.0,50875
2015-11-02,11.0,3317303
2015-11-02,9.0,667001
2015-11-02,10.0,511360
2015-11-02,7.0,445573
2015-11-02,8.0,320572
2015-11-02,6.0,1131
2015-11-03,11.0,3202992
2015-11-03,9.0,668165
2015-11-03,10.0,506481
2015-11-03,7.0,427849
2015-11-03,8.0,320390
2015-11-03,6.0,1067
2015-11-04,11.0,3175345
2015-11-04,9.0,651934
2015-11-04,10.0,501161
2015-11-04,7.0,408611
2015-11-04,8.0,300602
2015-11-04,6.0,1007
2015-11-05,11.0,3137000
2015-11-05,9.0,644253
2015-11-05,10.0,502215
2015-11-05,7.0,405482
2015-11-05,8.0,297856
2015-11-06,11.0,2597745
2015-11-06,9.0,531566
2015-11-06,10.0,402463
2015-11-06,7.0,346231
2015-11-06,8.0,252698
2015-11-07,11.0,1090815
2015-11-07,9.0,129360
2015-11-07,10.0,97406
2015-11-07,8.0,72026
2015-11-07,7.0,46390
2015-11-08,11.0,1175713
2015-11-08,9.0,131724
2015-11-08,10.0,101237
2015-11-08,8.0,76123
2015-11-08,7.0,51186
2015-11-09,11.0,3346999
2015-11-09,9.0,665097
2015-11-09,10.0,522133
2015-11-09,7.0,418879
2015-11-09,8.0,309812
2015-11-10,11.0,3274678
2015-11-10,9.0,647777
2015-11-10,10.0,510780
2015-11-10,7.0,405487
2015-11-10,8.0,298623
2015-11-10,6.0,1066
2015-11-11,11.0,2555389
2015-11-11,9.0,404108
2015-11-11,10.0,329360
2015-11-11,8.0,210468
2015-11-11,7.0,128173
2015-11-12,11.0,3067080
2015-11-12,9.0,608891
2015-11-12,10.0,478931
2015-11-12,7.0,396718
2015-11-12,8.0,284840
2015-11-13,11.0,2607783
2015-11-13,9.0,506743
2015-11-13,10.0,398287
2015-11-13,7.0,340553
2015-11-13,8.0,238635
2015-11-14,11.0,1046354
2015-11-14,9.0,119055
2015-11-14,10.0,92906
2015-11-14,8.0,71192
2015-11-14,7.0,44285
2015-11-15,11.0,1189568
2015-11-15,9.0,126866
2015-11-15,10.0,97704
2015-11-15,8.0,73689
2015-11-15,7.0,47723
2015-11-16,11.0,3396301
2015-11-16,9.0,644379
2015-11-16,10.0,512684
2015-11-16,7.0,421860
2015-11-16,8.0,288681
2015-11-17,11.0,3431695
2015-11-17,9.0,653112
2015-11-17,10.0,520504
2015-11-17,7.0,421214
2015-11-17,8.0,298062
2015-11-17,6.0,1098
2015-11-18,11.0,3260660
2015-11-18,9.0,622021
2015-11-18,10.0,499167
2015-11-18,7.0,400489
2015-11-18,8.0,280769
2015-11-18,6.0,1016
2015-11-19,11.0,3151238
2015-11-19,9.0,600657
2015-11-19,10.0,480489
2015-11-19,7.0,395666
2015-11-19,8.0,264851
2015-11-20,11.0,2675645
2015-11-20,9.0,507721
2015-11-20,10.0,400541
2015-11-20,7.0,344135
2015-11-20,8.0,229045
2015-11-21,11.0,1092895
2015-11-21,9.0,122580
2015-11-21,10.0,95842
2015-11-21,8.0,70460
2015-11-21,7.0,42588
2015-11-22,11.0,1133583
2015-11-22,9.0,119353
2015-11-22,10.0,94996
2015-11-22,8.0,68024
2015-11-22,7.0,39226
2015-11-23,11.0,3091227
2015-11-23,9.0,581779
2015-11-23,10.0,463371
2015-11-23,7.0,400736
2015-11-23,8.0,260544
2015-11-24,11.0,2945732
2015-11-24,9.0,570665
2015-11-24,10.0,445159
2015-11-24,7.0,391182
2015-11-24,8.0,258863
2015-11-25,11.0,2277975
2015-11-25,9.0,435148
2015-11-25,10.0,332105
2015-11-25,7.0,294176
2015-11-25,8.0,213725
2015-11-26,11.0,917175
2015-11-26,9.0,116934
2015-11-26,10.0,90818
2015-11-26,8.0,87081
2015-11-26,7.0,67849
2015-11-27,11.0,1336200
2015-11-27,9.0,209747
2015-11-27,7.0,173224
2015-11-27,10.0,146906
2015-11-27,8.0,124216
2015-11-28,11.0,1001976
2015-11-28,9.0,106962
2015-11-28,10.0,84393
2015-11-28,8.0,64025
2015-11-28,7.0,39076
2015-11-29,11.0,1164246
2015-11-29,9.0,120543
2015-11-29,10.0,94502
2015-11-29,8.0,69240
2015-11-29,7.0,42146
2015-11-30,11.0,3269592
2015-11-30,9.0,608099
2015-11-30,10.0,475694
2015-11-30,7.0,413885
2015-11-30,8.0,274274
2015-12-01,11.0,3242727
2015-12-01,9.0,607629
2015-12-01,10.0,473839
2015-12-01,7.0,421265
2015-12-01,8.0,276831
2015-12-01,6.0,1028
2015-12-02,11.0,3153382
2015-12-02,9.0,584203
2015-12-02,10.0,455873
2015-12-02,7.0,394540
2015-12-02,8.0,273546
2015-12-03,11.0,2976303
2015-12-03,9.0,552887
2015-12-03,10.0,426321
2015-12-03,7.0,382602
2015-12-03,8.0,260944
2015-12-04,11.0,2502577
2015-12-04,9.0,456354
2015-12-04,10.0,345555
2015-12-04,7.0,327878
2015-12-04,8.0,220597
2015-12-05,11.0,987422
2015-12-05,9.0,112873
2015-12-05,10.0,83843
2015-12-05,8.0,64155
2015-12-05,7.0,45869
2015-12-06,11.0,1065683
2015-12-06,9.0,110881
2015-12-06,10.0,87219
2015-12-06,8.0,64724
2015-12-06,7.0,40461
2015-12-07,11.0,3156858
2015-12-07,9.0,562080
2015-12-07,10.0,436065
2015-12-07,7.0,395485
2015-12-07,8.0,261367
2015-12-08,11.0,3106067
2015-12-08,9.0,558621
2015-12-08,10.0,427466
2015-12-08,7.0,397219
2015-12-08,8.0,254258
2015-12-09,11.0,3071937
2015-12-09,9.0,549337
2015-12-09,10.0,415555
2015-12-09,7.0,385584
2015-12-09,8.0,255763
2015-12-10,11.0,2975848
2015-12-10,9.0,531372
2015-12-10,10.0,397693
2015-12-10,7.0,377355
2015-12-10,8.0,245981
2015-12-11,11.0,2572227
2015-12-11,9.0,445467
2015-12-11,10.0,333208
2015-12-11,7.0,324965
2015-12-11,8.0,213486
