page,page_title,active_visitors
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status,1109
weather.gov/,National Weather Service,1092
socialsecurity.gov/,The United States Social Security Administration,884
forecast.weather.gov/mapclick.php,National Weather Service,740
noaa.gov/,NOAA - National Oceanic and Atmospheric Administration,692
irs.gov/,Internal Revenue Service,652
usda.gov/wps/portal/usda/usdahome,U.S. Department of Agriculture,550
applicationmanager.gov/application.aspx,Application Manager,529
earthquake.usgs.gov/earthquakes/map/,Earthquakes,479
usajobs.gov/,USAJOBS - The Federal Government’s Official Jobs Site,455
ssa.gov/,The United States Social Security Administration,414
socialsecurity.gov/myaccount/,my Social Security – Sign In Or Create an Account,355
ebenefits.va.gov/ebenefits/homepage,Home - eBenefits,330
socialsecurity.gov/onlineservices/,What You Can Do Online,321
uscis.gov/,Homepage | USCIS,296
opm.gov/cybersecurity/,Cybersecurity Resource Center,281
myhealth.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,278
ssa.gov/myaccount/,my Social Security – Sign In Or Create an Account,278
earthquake.usgs.gov/earthquakes/eventpage/us100047zq,"M6.4 - 11km ENE of Tres Picos, Mexico",258
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login Agreement,255
usajobs.gov/search/getadvancedsearchresults,USAJOBS - The Federal Government’s Official Jobs Site,248
irs.gov/payments/direct-pay,Welcome to Direct Pay!,211
irs.gov/forms-&-pubs,Forms & Pubs,210
irs.gov/businesses/small-businesses-&-self-employed/apply-for-an-employer-identification-number-(ein)-online,Apply for an Employer Identification Number (EIN) Online,199
travel.state.gov/content/passports/en/passports/apply.html,How to Apply for a Passport,198
tsa.gov/travel/security-screening,Security Screening | Transportation Security Administration,197
irs.gov/individuals/get-transcript,Get Transcript,192
egov.uscis.gov/casestatus/landing.do,myUSCIS - Case Status Search,186
nasa.gov/,NASA,182
irs.gov/refunds,"Where's My Refund? - It's Quick, Easy and Secure.",175
gsa.gov/portal/category/100120,Per Diem Rates Look-Up,169
apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,167
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Enter Employee I-9 Information,162
irs.gov/tax-professionals/e-services---online-tools-for-tax-professionals,e-Services - Online Tools for Tax Professionals,162
lewis-mcchord.army.mil/,Joint Base Lewis-McChord,160
usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,153
complaints.donotcall.gov/complaint/complaintcheck.aspx,National Do Not Call Registry,149
uspto.gov/,United States Patent and Trademark Office,149
tsdr.uspto.gov/,Trademark Status & Document Retrieval,148
ceac.state.gov/iv/login.aspx,Immigrant Visa - Sign In,145
irs.gov/tax-professionals/ptin-requirements-for-tax-return-preparers,PTIN Requirements for Tax Return Preparers,142
va.gov/,U.S. Department of Veterans Affairs,142
nsopw.gov/en-us/search/results,Search Results,135
weather.gov/radar,Doppler Radar National Mosaic,133
bop.gov/inmateloc/,Inmate Locator,132
benefits.va.gov/homeloans/resources_circulars.asp,Circulars: 2015 - Home Loans,131
donotcall.gov/confirm/conf.aspx,National Do Not Call Registry,129
ceac.state.gov/genniv/default.aspx,Nonimmigrant Visa - Instructions Page,125
ceac.state.gov/genniv/general/complete/complete_travel.aspx?node=travel,Nonimmigrant Visa - Travel Information,124
travel.state.gov/content/passports/en/passports/renew.html,Renew a Passport,124
dhs.gov/ntas/advisory/ntas_15_1216_0001,"National Terrorism Advisory System Bulletin - December 16, 2015 | Homeland Security",122
noaa.gov/index_nomobile.html,NOAA - National Oceanic and Atmospheric Administration,122
travel.state.gov/content/passports/en/passports.html,U.S. Passports & International Travel,122
opm.gov/policy-data-oversight/pay-leave/salaries-wages/2015/general-schedule/,General Schedule,121
ceac.state.gov/ceac/,Consular Electronic Application Center,114
tsa.gov/tsa-precheck/apply,Apply for TSA Pre✓® | Transportation Security Administration,112
irs.gov/uac/newsroom/2016-standard-mileage-rates-for-business-medical-and-moving-announced,"2016 Standard Mileage Rates for Business, Medical and Moving Announced",110
travel.state.gov/content/passports/en/passports/information/fees.html,Fees,107
earthquake.usgs.gov/earthquakes/map/,"1 Day, Magnitude 2.5+ Worldwide",105
uspto.gov/learning-and-resources/portal-applications,Portal Applications | USPTO,105
opm.gov/investigations/e-qip-application/,e-QIP Application,103
studentaid.ed.gov/sa/fafsa/filling-out/fsaid,The FSA ID | Federal Student Aid,102
portal.hud.gov/hudportal/hud?src=/program_offices/public_indian_housing/reac/online,REAC,101
usajobs.gov/applicant/resume/listresumes,USAJOBS - Resumes,101
uspto.gov/trademarks-application-process/search-trademark-database,Search Trademark Database | USPTO,101
irs.gov/payments,"Payment Options: Pay Online, Installment Plans and More",99
irs.gov/individuals/online-payment-agreement-application,Apply for an Online Payment Agreement for Individuals and Businesses,97
opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/,Federal Holidays,96
census.gov/cgi-bin/sssd/naics/naicsrch,NAICS Search,95
