date,language,visits
2024-01-04,English,4467002
2024-01-04,Spanish,53717
2024-01-04,Chinese,42723
2024-01-04,French,12842
2024-01-04,German,9375
2024-01-04,Japanese,8440
2024-01-04,Korean,7467
2024-01-04,Portuguese,6005
2024-01-04,Russian,5361
2024-01-04,Italian,3496
2024-01-04,Turkish,2365
2024-01-04,Polish,2332
2024-01-04,Dutch,2298
2024-01-04,Vietnamese,1490
2024-01-04,(other),1384
2024-01-04,Swedish,1338
2024-01-04,Arabic,1168
2024-01-04,Thai,1096
2024-01-04,Norwegian Bokmål,1014
2024-01-04,Danish,972
2024-01-04,Indonesian,909
2024-01-04,Czech,815
2024-01-04,Finnish,718
2024-01-04,Greek,593
2024-01-04,Hebrew,542
2024-01-04,Ukrainian,527
2024-01-04,Hungarian,507
2024-01-04,Romanian,460
2024-01-04,Persian,315
2024-01-04,Slovak,255
2024-01-04,Croatian,194
2024-01-04,Bulgarian,176
2024-01-04,Catalan,171
2024-01-04,Slovenian,152
2024-01-04,Hindi,141
2024-01-04,Lithuanian,141
2024-01-04,Estonian,104
2024-01-04,Gujarati,78
2024-01-04,Serbian,73
2024-01-04,Latvian,55
2024-01-04,Malay,54
2024-01-04,Azerbaijani,46
2024-01-04,Georgian,46
2024-01-04,Afrikaans,31
2024-01-04,Icelandic,28
2024-01-04,Bengali,26
2024-01-04,Uzbek,23
2024-01-04,Albanian,22
2024-01-04,Burmese,21
2024-01-04,Central Khmer,20
2024-01-04,Irish,17
2024-01-04,Marathi,17
2024-01-04,Macedonian,16
2024-01-04,Bosnian,14
2024-01-04,Esperanto,14
2024-01-04,Norwegian,14
2024-01-04,Tamil,14
2024-01-04,Welsh,14
2024-01-04,Norwegian Nynorsk,12
2024-01-03,English,4079025
2024-01-03,Spanish,56078
2024-01-03,Chinese,41543
2024-01-03,French,12345
2024-01-03,German,9284
2024-01-03,Korean,7746
2024-01-03,Japanese,6172
2024-01-03,Portuguese,5979
2024-01-03,Russian,5240
2024-01-03,Italian,3368
2024-01-03,Dutch,2469
2024-01-03,Polish,2423
2024-01-03,Turkish,2277
2024-01-03,Thai,1637
2024-01-03,Vietnamese,1525
2024-01-03,Swedish,1355
2024-01-03,Arabic,1265
2024-01-03,Norwegian Bokmål,1030
2024-01-03,Danish,951
2024-01-03,Indonesian,897
2024-01-03,Czech,791
2024-01-03,Finnish,725
2024-01-03,(other),633
2024-01-03,Hebrew,571
2024-01-03,Greek,536
2024-01-03,Romanian,526
2024-01-03,Ukrainian,484
2024-01-03,Hungarian,469
2024-01-03,Persian,278
2024-01-03,Slovak,256
2024-01-03,Slovenian,196
2024-01-03,Croatian,192
2024-01-03,Catalan,156
2024-01-03,Bulgarian,125
2024-01-03,Estonian,124
2024-01-03,Lithuanian,122
2024-01-03,Hindi,109
2024-01-03,Serbian,95
2024-01-03,Georgian,93
2024-01-03,Latvian,79
2024-01-03,Malay,61
2024-01-03,Gujarati,53
2024-01-03,Azerbaijani,41
2024-01-03,Central Khmer,35
2024-01-03,Bengali,31
2024-01-03,Icelandic,30
2024-01-03,Irish,24
2024-01-03,Burmese,22
2024-01-03,Afrikaans,21
2024-01-03,Tamil,21
2024-01-03,Uzbek,20
2024-01-03,Albanian,19
2024-01-03,Bosnian,17
2024-01-03,Basque,15
2024-01-03,Panjabi,12
2024-01-03,Macedonian,11
2024-01-03,Marathi,11
2024-01-03,Urdu,11
2024-01-02,English,3754594
2024-01-02,Spanish,52778
2024-01-02,Chinese,40650
2024-01-02,French,11267
2024-01-02,German,8785
2024-01-02,Korean,7855
2024-01-02,Portuguese,5502
2024-01-02,Russian,4590
2024-01-02,Japanese,4481
2024-01-02,Italian,3021
2024-01-02,Dutch,2509
2024-01-02,Turkish,2378
2024-01-02,Polish,1962
2024-01-02,Vietnamese,1495
2024-01-02,Swedish,1388
2024-01-02,Arabic,1257
2024-01-02,Norwegian Bokmål,963
2024-01-02,Danish,897
2024-01-02,Indonesian,891
2024-01-02,Czech,806
2024-01-02,(other),741
2024-01-02,Finnish,704
2024-01-02,Thai,688
2024-01-02,Greek,594
2024-01-02,Hebrew,582
2024-01-02,Hungarian,498
2024-01-02,Ukrainian,426
2024-01-02,Romanian,376
